Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle
intersection35,1,70,6,1
intersection133,1,118,0,0
intersection141,1,118,0,0
intersection33,1,130,8,19
intersection97,1,155,3,4
intersection40,1,166,31,35
intersection44,1,166,15,17
intersection109,1,166,25,4
intersection35,2,186,19,35
intersection133,2,234,0,0
intersection141,2,234,0,0
intersection40,2,286,61,62
intersection35,3,303,53,35
intersection33,2,334,30,120
intersection133,3,350,0,0
intersection141,3,350,0,0
intersection97,2,357,0,34
intersection109,2,365,93,58
intersection44,2,372,59,48
intersection40,3,419,91,90
intersection35,4,419,125,64
intersection33,3,451,52,83
intersection133,4,466,0,0
intersection141,4,466,0,0
intersection109,3,513,81,99
intersection97,3,521,4,11
intersection35,5,536,223,44
intersection40,4,552,78,69
intersection33,4,567,49,103
intersection44,3,576,23,67
intersection133,5,582,0,0
intersection141,5,582,0,0
intersection35,6,652,240,77
intersection40,5,680,71,39
intersection97,4,682,0,15
intersection33,5,684,30,124
intersection109,4,697,67,116
intersection133,6,698,0,0
intersection141,6,698,0,0
intersection35,7,769,243,33
intersection44,4,789,20,37
intersection33,6,800,48,64
intersection40,6,801,60,32
intersection133,7,814,0,0
intersection141,7,814,0,0
intersection97,5,830,1,5
intersection35,8,885,265,36
intersection109,5,910,84,129
intersection33,7,917,9,88
intersection40,7,926,53,40
intersection133,8,930,0,0
intersection141,8,930,0,0
intersection44,5,988,20,30
intersection35,9,1002,305,41
intersection33,8,1033,12,66
intersection97,6,1043,4,15
intersection40,8,1046,50,28
intersection133,9,1046,0,0
intersection141,9,1046,0,0
intersection109,6,1070,45,108
intersection35,10,1118,355,26
intersection133,10,1162,0,0
intersection141,10,1162,0,0
intersection40,9,1166,52,32
intersection44,6,1190,18,30
intersection33,9,1198,11,105
intersection97,7,1208,0,7
intersection35,11,1235,407,40
intersection109,7,1259,37,77
intersection133,11,1278,0,0
intersection141,11,1278,0,0
intersection40,10,1285,53,30
intersection97,8,1317,1,7
intersection33,10,1343,21,52
intersection35,12,1351,508,26
intersection133,12,1394,0,0
intersection141,12,1394,0,0
intersection44,7,1395,23,20
intersection40,11,1406,53,29
intersection109,8,1441,37,59
intersection33,11,1459,5,59
intersection35,13,1468,602,31
intersection133,13,1510,0,0
intersection141,13,1510,0,0
intersection40,12,1522,44,25
intersection97,9,1530,1,10
