Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle
intersection35,1,70,5,2
intersection44,1,70,3,1
intersection109,1,105,13,2
intersection133,1,118,0,0
intersection141,1,118,0,0
intersection97,1,154,0,4
intersection33,1,166,11,38
intersection40,1,166,28,39
intersection35,2,186,22,36
intersection44,2,212,27,22
intersection133,2,234,0,0
intersection141,2,234,0,0
intersection33,2,283,21,56
intersection40,2,289,61,54
intersection109,2,290,60,57
intersection35,3,303,70,46
intersection97,2,318,4,20
