Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
NVCMT,1,112,0.06,3,0.5
NVCMT,1,112,0.06,1,0.0
NVCMT,1,112,0.06,1,0.0
NVCMT,1,112,0.06,1,0.0
304THN,1,112,0.0,0,0.0
304THN,1,112,0.0,0,0.0
304THN,1,112,0.0,0,0.0
NVCNVL,1,112,0.0,2,0.0
NVCNVL,1,112,0.0,3,0.0
NVCNVL,1,112,0.0,1,0.0
NVCNVL,1,112,0.0,1,0.0
32NVL,1,112,0.36,0,0.0
32NVL,1,112,0.36,0,0.0
32NVL,1,112,0.36,0,0.0
32NVL,1,112,0.36,0,0.0
32MT,1,112,0.0,0,0.0
32MT,1,112,0.0,0,0.0
32MT,1,112,0.0,0,0.0
304NVL,1,112,0.31,0,0.0
304NVL,1,112,0.31,0,0.0
304NVL,1,112,0.31,0,0.0
NVCCMT8,1,112,0.0,0,0.0
NVCCMT8,1,112,0.0,0,0.0
NVCCMT8,1,112,0.0,2,0.0
NVCCMT8,1,112,0.0,2,0.0
32THN,1,112,0.0,0,0.0
32THN,1,112,0.0,0,0.0
NVCMT,2,224,0.17,4,0.25
NVCMT,2,224,0.17,3,0.0
NVCMT,2,224,0.17,4,0.0
NVCMT,2,224,0.17,3,0.0
304THN,2,224,0.09,0,0.0
304THN,2,224,0.09,0,0.0
304THN,2,224,0.09,0,0.0
NVCNVL,2,224,0.08,3,0.0
NVCNVL,2,224,0.08,8,0.13
NVCNVL,2,224,0.08,3,0.0
NVCNVL,2,224,0.08,3,0.0
32NVL,2,224,3.12,4,0.0
32NVL,2,224,3.12,3,0.0
32NVL,2,224,3.12,3,10.83
32NVL,2,224,3.12,0,0.0
32MT,2,224,0.82,7,0.0
32MT,2,224,0.82,11,0.05
32MT,2,224,0.82,5,9.4
304NVL,2,224,0.74,1,0.0
304NVL,2,224,0.74,5,8.1
304NVL,2,224,0.74,3,8.67
NVCCMT8,2,224,0.0,0,0.0
NVCCMT8,2,224,0.0,0,0.0
NVCCMT8,2,224,0.0,1,0.0
NVCCMT8,2,224,0.0,1,0.0
32THN,2,224,0.0,0,0.0
32THN,2,224,0.0,0,0.0
NVCMT,3,336,0.23,4,0.5
NVCMT,3,336,0.23,5,0.0
NVCMT,3,336,0.23,5,0.0
NVCMT,3,336,0.23,5,0.0
304THN,3,336,0.07,0,0.0
304THN,3,336,0.07,0,0.0
304THN,3,336,0.07,0,0.0
NVCNVL,3,336,0.21,4,0.0
NVCNVL,3,336,0.21,5,3.1
NVCNVL,3,336,0.21,5,0.0
NVCNVL,3,336,0.21,5,0.0
32NVL,3,336,2.3,18,2.61
32NVL,3,336,2.3,15,6.1
32NVL,3,336,2.3,16,16.38
32NVL,3,336,2.3,12,6.25
304NVL,3,336,1.1,4,0.13
304NVL,3,336,1.1,11,5.64
304NVL,3,336,1.1,6,2.33
NVCCMT8,3,336,0.11,2,2.0
NVCCMT8,3,336,0.11,1,0.0
NVCCMT8,3,336,0.11,0,0.0
NVCCMT8,3,336,0.11,0,0.0
32THN,3,336,0.0,0,0.0
32THN,3,336,0.0,0,0.0
32MT,3,336,0.13,14,0.0
32MT,3,336,0.13,14,0.0
32MT,3,336,0.13,10,0.05
NVCMT,4,448,0.24,9,0.56
NVCMT,4,448,0.24,8,0.5
NVCMT,4,448,0.24,5,0.0
NVCMT,4,448,0.24,7,0.0
304THN,4,448,0.0,0,0.0
304THN,4,448,0.0,0,0.0
304THN,4,448,0.0,0,0.0
NVCNVL,4,448,0.0,12,0.0
NVCNVL,4,448,0.0,9,0.0
NVCNVL,4,448,0.0,14,0.0
NVCNVL,4,448,0.0,13,0.0
304NVL,4,448,0.53,11,0.05
304NVL,4,448,0.53,11,1.14
304NVL,4,448,0.53,13,0.0
NVCCMT8,4,448,0.0,2,0.0
NVCCMT8,4,448,0.0,0,0.0
NVCCMT8,4,448,0.0,2,0.0
NVCCMT8,4,448,0.0,2,0.0
32THN,4,448,0.0,0,0.0
32THN,4,448,0.0,0,0.0
32NVL,4,448,2.32,9,1.39
32NVL,4,448,2.32,5,0.0
32NVL,4,448,2.32,6,0.0
32NVL,4,448,2.32,8,0.63
32MT,4,448,0.84,9,0.0
32MT,4,448,0.84,6,0.0
32MT,4,448,0.84,7,10.07
NVCMT,5,560,0.43,10,0.9
NVCMT,5,560,0.43,11,0.0
NVCMT,5,560,0.43,6,0.0
NVCMT,5,560,0.43,8,0.81
304THN,5,560,0.0,0,0.0
304THN,5,560,0.0,0,0.0
