Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
NVCMT,1,112,2.18,8,0.5
304THN,1,112,0.0,0,0.0
NVCNVL,1,112,2.64,8,3.94
32NVL,1,112,4.48,1,14.0
32MT,1,112,0.0,4,0.0
304NVL,1,112,0.38,6,1.08
NVCCMT8,1,112,0.07,5,0.0
32THN,1,112,0.0,0,0.0
NVCMT,2,224,2.61,20,1.95
304THN,2,224,0.0,0,0.0
NVCNVL,2,224,0.0,26,0.06
32NVL,2,224,12.82,23,6.0
32MT,2,224,10.58,30,11.18
304NVL,2,224,4.31,16,4.13
NVCCMT8,2,224,0.43,10,0.25
32THN,2,224,0.31,0,0.0
304THN,3,336,0.0,0,0.0
NVCNVL,3,336,0.88,31,0.29
32NVL,3,336,14.04,48,10.42
32MT,3,336,0.0,37,0.31
304NVL,3,336,2.24,51,0.99
NVCCMT8,3,336,1.02,15,0.5
32THN,3,336,0.29,0,0.0
NVCMT,3,336,3.93,21,2.45
304THN,4,448,0.0,0,0.0
NVCNVL,4,448,0.93,57,0.1
32MT,4,448,2.1,35,1.27
304NVL,4,448,5.77,41,1.68
NVCCMT8,4,448,0.39,9,0.33
32THN,4,448,0.38,0,0.0
NVCMT,4,448,3.82,23,1.48
32NVL,4,448,30.76,38,3.01
304THN,5,560,0.0,0,0.0
NVCNVL,5,560,2.02,54,0.69
304NVL,5,560,7.13,88,2.4
NVCCMT8,5,560,0.0,1,0.0
32THN,5,560,0.48,0,0.0
NVCMT,5,560,3.05,19,2.24
32NVL,5,560,24.93,59,18.45
32MT,5,560,6.63,55,3.61
304THN,6,672,0.0,0,0.0
NVCNVL,6,672,6.05,64,2.03
304NVL,6,672,4.85,71,2.77
NVCCMT8,6,672,0.86,6,0.75
32THN,6,672,1.1,0,0.0
NVCMT,6,672,2.79,30,1.63
32NVL,6,672,13.59,59,5.31
32MT,6,673,2.48,54,1.19
304THN,7,784,0.25,0,0.0
NVCNVL,7,784,0.5,59,0.08
NVCCMT8,7,784,0.0,15,0.0
32THN,7,784,0.38,1,27.0
NVCMT,7,784,2.54,22,0.86
304NVL,7,784,4.8,74,2.3
32NVL,7,785,40.94,36,5.64
32MT,7,785,3.63,61,1.82
304THN,8,896,0.27,0,0.0
NVCNVL,8,896,0.7,55,0.12
NVCCMT8,8,896,0.36,9,0.28
32THN,8,896,0.0,0,0.0
NVCMT,8,896,4.64,33,0.44
304NVL,8,896,9.63,85,1.01
32NVL,8,897,35.48,71,18.13
32MT,8,898,3.71,49,1.82
304THN,9,1008,0.0,0,0.0
NVCNVL,9,1008,0.25,61,0.07
NVCCMT8,9,1008,0.3,6,0.58
32THN,9,1008,1.36,0,0.0
NVCMT,9,1008,5.48,23,3.24
304NVL,9,1008,5.75,96,2.62
32NVL,9,1009,20.71,59,6.62
32MT,9,1010,7.86,61,3.77
304THN,10,1120,0.58,0,0.0
NVCNVL,10,1120,0.13,59,0.09
NVCCMT8,10,1120,0.41,7,0.43
32THN,10,1120,0.12,2,23.0
NVCMT,10,1120,4.7,28,3.3
304NVL,10,1120,4.17,75,2.23
32NVL,10,1122,14.54,66,5.78
32MT,10,1122,7.53,56,5.05
304THN,11,1232,0.0,1,0.0
NVCNVL,11,1232,4.52,59,1.43
NVCCMT8,11,1232,0.79,13,0.31
32THN,11,1232,0.19,0,0.0
NVCMT,11,1232,3.05,32,0.16
304NVL,11,1232,10.5,97,0.91
32NVL,11,1234,14.79,54,5.32
32MT,11,1234,1.4,59,0.65
304THN,12,1344,2.09,0,0.0
NVCNVL,12,1344,0.32,70,0.03
NVCCMT8,12,1344,2.61,15,0.83
32THN,12,1344,1.18,0,0.0
NVCMT,12,1344,6.09,29,2.88
304NVL,12,1345,9.31,72,5.1
32NVL,12,1346,13.83,58,4.89
32MT,12,1346,4.81,58,2.85
304THN,13,1456,0.03,1,43.5
NVCNVL,13,1456,0.91,54,0.31
NVCCMT8,13,1456,0.0,7,0.0
32THN,13,1456,1.05,1,21.0
NVCMT,13,1456,2.93,23,3.04
304NVL,13,1457,11.37,69,6.68
32NVL,13,1458,36.89,32,6.19
32MT,13,1459,1.93,59,0.99
304THN,14,1568,0.0,0,0.0
NVCNVL,14,1568,6.95,56,2.72
NVCCMT8,14,1568,0.41,10,0.2
32THN,14,1568,0.48,1,33.0
NVCMT,14,1568,1.89,29,0.36
304NVL,14,1569,9.51,89,0.28
32NVL,14,1570,38.0,78,16.71
32MT,14,1571,2.8,60,0.71
304THN,15,1680,0.0,0,0.0
NVCNVL,15,1680,0.64,58,0.05
NVCCMT8,15,1680,1.07,10,0.5
32THN,15,1680,0.35,0,0.0
NVCMT,15,1680,2.54,33,0.35
304NVL,15,1682,3.79,76,3.8
32NVL,15,1682,13.82,42,8.56
32MT,15,1684,19.48,50,13.31
304THN,16,1792,0.0,0,0.0
NVCNVL,16,1792,5.96,59,2.42
NVCCMT8,16,1792,0.0,10,0.05
32THN,16,1792,0.41,0,0.0
NVCMT,16,1792,4.2,31,0.39
304NVL,16,1794,5.88,72,0.49
32NVL,16,1794,19.98,58,6.28
32MT,16,1796,1.37,48,0.89
304THN,17,1904,0.01,0,0.0
NVCNVL,17,1904,0.34,58,0.1
NVCCMT8,17,1904,1.29,13,0.77
32THN,17,1904,0.6,0,0.0
NVCMT,17,1904,2.55,28,2.82
304NVL,17,1906,2.63,70,1.34
32NVL,17,1907,29.81,57,7.04
32MT,17,1908,20.13,56,11.02
304THN,18,2016,0.0,0,0.0
NVCNVL,18,2016,0.0,71,0.05
NVCCMT8,18,2016,0.86,11,0.23
32THN,18,2016,0.0,0,0.0
NVCMT,18,2016,5.11,24,1.1
304NVL,18,2018,8.16,77,0.9
32NVL,18,2019,14.82,60,9.31
32MT,18,2021,2.48,48,1.64
304THN,19,2128,0.28,0,0.0
NVCNVL,19,2128,6.91,65,1.84
NVCCMT8,19,2128,1.13,15,0.5
32THN,19,2128,0.23,0,0.0
NVCMT,19,2128,4.88,31,1.37
304NVL,19,2130,7.33,67,2.59
32NVL,19,2131,15.45,49,4.7
32MT,19,2133,29.93,50,6.87
304THN,20,2240,0.62,0,0.0
NVCNVL,20,2240,1.23,51,0.29
NVCCMT8,20,2240,1.14,14,0.25
32THN,20,2240,0.0,0,0.0
NVCMT,20,2240,6.36,35,1.69
304NVL,20,2242,4.93,94,2.21
32NVL,20,2243,20.02,61,8.09
32MT,20,2245,6.84,79,11.39
304THN,21,2352,0.13,0,0.0
NVCNVL,21,2352,0.36,66,0.24
NVCCMT8,21,2352,0.0,4,0.0
32THN,21,2352,0.42,0,0.0
NVCMT,21,2352,6.73,24,0.65
304NVL,21,2354,2.36,81,1.3
32NVL,21,2356,7.06,71,1.92
32MT,21,2357,7.01,64,2.61
304THN,22,2464,0.16,1,0.0
NVCNVL,22,2464,0.34,72,0.15
NVCCMT8,22,2464,0.34,6,0.5
32THN,22,2464,0.08,0,0.0
NVCMT,22,2464,3.63,43,3.12
304NVL,22,2466,7.5,67,1.42
32NVL,22,2468,11.07,58,5.18
32MT,22,2470,0.36,49,0.11
304THN,23,2576,0.0,0,0.0
NVCNVL,23,2576,0.32,68,0.13
NVCCMT8,23,2576,0.09,10,0.0
32THN,23,2576,0.21,0,0.0
NVCMT,23,2576,4.11,33,1.14
304NVL,23,2578,4.71,55,3.02
32NVL,23,2580,16.64,54,4.22
32MT,23,2582,1.0,50,0.24
304THN,24,2688,0.0,0,0.0
NVCNVL,24,2688,0.0,81,0.15
NVCCMT8,24,2688,0.52,11,0.36
32THN,24,2688,0.15,0,0.0
NVCMT,24,2688,5.02,32,1.47
304NVL,24,2690,6.92,79,1.34
32NVL,24,2693,7.79,51,1.99
32MT,24,2695,4.84,49,2.05
304THN,25,2800,0.0,0,0.0
NVCNVL,25,2800,1.13,62,0.03
NVCCMT8,25,2800,0.66,11,0.27
32THN,25,2800,0.39,0,0.0
NVCMT,25,2800,1.09,27,0.15
304NVL,25,2802,4.67,65,1.72
32NVL,25,2805,16.89,59,5.89
32MT,25,2807,5.12,55,3.01
304THN,26,2912,0.66,0,0.0
NVCNVL,26,2912,3.96,55,1.61
NVCCMT8,26,2912,0.2,4,0.38
32THN,26,2912,0.23,1,0.0
NVCMT,26,2912,4.86,25,0.7
304NVL,26,2914,10.59,91,1.47
32NVL,26,2917,28.98,54,10.01
32MT,26,2920,5.91,59,2.47
304THN,27,3024,0.5,0,0.0
NVCNVL,27,3024,9.57,57,3.01
NVCCMT8,27,3024,0.0,7,0.0
32THN,27,3024,0.41,0,0.0
NVCMT,27,3024,2.75,20,0.75
304NVL,27,3027,5.15,75,3.83
32NVL,27,3029,12.95,66,7.1
32MT,27,3032,3.68,56,1.82
304THN,28,3136,0.0,0,0.0
NVCNVL,28,3136,1.36,69,0.27
NVCCMT8,28,3136,0.0,5,0.0
32THN,28,3136,0.32,0,0.0
NVCMT,28,3136,6.79,40,2.06
304NVL,28,3139,8.84,78,0.85
32NVL,28,3141,23.66,78,7.06
32MT,28,3145,1.91,48,0.86
304THN,29,3248,0.0,0,0.0
NVCNVL,29,3248,4.0,55,1.5
NVCCMT8,29,3248,0.52,13,0.19
32THN,29,3248,0.15,0,0.0
NVCMT,29,3249,9.72,27,2.41
304NVL,29,3251,4.73,55,3.79
32NVL,29,3254,20.73,54,5.62
32MT,29,3257,14.4,68,7.01
304THN,30,3360,0.33,0,0.0
NVCNVL,30,3360,0.0,66,0.08
NVCCMT8,30,3360,0.46,13,0.19
32THN,30,3360,0.22,0,0.0
NVCMT,30,3361,4.55,29,7.72
304NVL,30,3363,13.89,67,6.63
32NVL,30,3366,38.89,43,4.49
32MT,30,3369,0.0,58,0.17
304THN,31,3472,0.0,0,0.0
NVCNVL,31,3472,0.5,68,0.11
NVCCMT8,31,3472,0.43,12,0.38
32THN,31,3472,0.47,0,0.0
NVCMT,31,3473,4.0,30,0.87
304NVL,31,3475,3.95,89,0.71
32NVL,31,3478,38.34,82,16.54
32MT,31,3481,5.88,53,4.86
304THN,32,3584,0.16,0,0.0
NVCNVL,32,3584,5.95,57,2.44
NVCCMT8,32,3584,0.34,7,0.43
32THN,32,3584,0.02,0,0.0
NVCMT,32,3585,2.93,26,0.54
304NVL,32,3588,4.56,77,1.69
32NVL,32,3590,18.21,53,8.32
32MT,32,3594,2.04,65,1.28
304THN,33,3696,0.39,0,0.0
NVCNVL,33,3696,0.75,61,0.16
NVCCMT8,33,3696,1.09,6,1.08
32THN,33,3696,0.25,0,0.0
NVCMT,33,3697,3.38,37,1.03
304NVL,33,3700,5.87,82,1.43
32NVL,33,3702,30.63,53,3.66
32MT,33,3706,10.51,55,6.23
304THN,34,3808,0.58,0,0.0
NVCNVL,34,3808,6.84,51,2.91
NVCCMT8,34,3808,0.54,15,0.2
32THN,34,3808,0.96,0,0.0
NVCMT,34,3809,4.23,35,0.57
304NVL,34,3812,6.36,78,2.36
32NVL,34,3814,17.7,56,15.68
32MT,34,3818,2.07,69,0.74
304THN,35,3920,0.27,0,0.0
NVCNVL,35,3920,0.0,61,0.07
NVCCMT8,35,3920,0.3,7,0.0
32THN,35,3920,0.0,0,0.0
NVCMT,35,3921,1.54,26,0.44
304NVL,35,3924,3.87,74,1.95
32NVL,35,3926,41.27,48,12.03
32MT,35,3931,0.55,49,0.57
304THN,36,4032,0.01,0,0.0
NVCNVL,36,4032,6.95,68,2.34
NVCCMT8,36,4032,0.34,12,0.08
32THN,36,4032,0.56,0,0.0
NVCMT,36,4033,4.14,33,0.53
