Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
NVCMT,1,112,0.0,1,0.0
304THN,1,112,0.0,0,0.0
NVCNVL,1,112,0.0,3,0.0
32NVL,1,112,3.3,2,0.0
32MT,1,112,0.0,2,0.0
304NVL,1,112,1.38,2,0.0
NVCCMT8,1,112,0.0,1,0.0
32THN,1,112,0.0,0,0.0
NVCMT,2,224,0.66,3,0.17
304THN,2,224,0.0,0,0.0
NVCNVL,2,224,0.52,10,0.65
32NVL,2,224,8.98,9,7.72
32MT,2,224,2.21,11,4.36
304NVL,2,224,2.06,11,9.45
NVCCMT8,2,224,0.16,1,0.0
32THN,2,224,0.32,0,0.0
NVCMT,3,336,1.32,10,0.35
304THN,3,336,0.0,0,0.0
NVCNVL,3,336,3.3,16,4.5
32NVL,3,336,11.25,22,19.39
32MT,3,336,3.25,25,3.14
304NVL,3,336,5.52,20,4.97
NVCCMT8,3,336,0.41,5,0.6
32THN,3,336,0.0,0,0.0
NVCMT,4,448,2.32,14,0.5
304THN,4,448,0.16,0,0.0
NVCNVL,4,448,0.5,12,0.38
32NVL,4,448,16.36,7,6.29
NVCCMT8,4,448,0.38,9,0.28
32THN,4,448,0.0,0,0.0
32MT,4,448,0.0,18,0.36
304NVL,4,448,3.01,23,2.0
NVCMT,5,560,3.64,11,2.18
304THN,5,560,0.0,0,0.0
NVCNVL,5,560,2.89,21,3.07
NVCCMT8,5,560,0.29,8,0.19
32THN,5,560,0.0,0,0.0
32NVL,5,560,13.96,32,18.28
32MT,5,560,1.89,24,1.77
304NVL,5,560,6.24,37,2.16
NVCMT,6,672,2.36,15,2.73
304THN,6,672,0.0,0,0.0
NVCNVL,6,672,0.0,28,0.02
NVCCMT8,6,672,0.0,3,0.0
32THN,6,672,0.0,0,0.0
32NVL,6,672,4.93,17,4.71
304NVL,6,672,4.38,29,5.43
32MT,6,673,0.0,30,0.08
NVCMT,7,784,1.98,14,0.36
304THN,7,784,0.0,0,0.0
NVCNVL,7,784,3.02,35,1.67
NVCCMT8,7,784,0.32,7,0.21
32THN,7,784,0.0,0,0.0
32NVL,7,784,23.07,28,3.7
304NVL,7,785,5.73,33,5.8
32MT,7,785,6.01,28,6.02
NVCMT,8,896,1.89,11,0.95
304THN,8,896,0.0,0,0.0
NVCNVL,8,896,0.21,24,0.02
NVCCMT8,8,896,0.2,9,0.06
32THN,8,896,0.12,0,0.0
32NVL,8,896,7.82,32,17.05
304NVL,8,897,1.25,23,0.07
32MT,8,897,0.55,21,0.14
NVCMT,9,1008,5.57,18,1.25
304THN,9,1008,0.0,0,0.0
NVCNVL,9,1008,0.0,28,0.02
NVCCMT8,9,1008,0.3,4,0.38
32THN,9,1008,0.0,0,0.0
32NVL,9,1008,12.13,29,9.69
304NVL,9,1009,4.19,27,0.76
32MT,9,1009,5.37,31,5.47
NVCMT,10,1120,1.96,18,3.08
304THN,10,1120,0.0,0,0.0
NVCNVL,10,1120,3.16,31,1.94
NVCCMT8,10,1120,0.43,4,0.5
32THN,10,1120,0.18,0,0.0
32NVL,10,1120,13.55,24,2.48
304NVL,10,1121,13.97,40,10.51
32MT,10,1122,0.49,35,0.01
NVCMT,11,1232,2.54,12,0.88
304THN,11,1232,0.0,0,0.0
NVCNVL,11,1232,0.0,28,0.09
NVCCMT8,11,1232,0.73,5,0.4
32THN,11,1232,0.16,0,0.0
32NVL,11,1232,8.02,26,16.56
304NVL,11,1233,2.25,35,0.0
32MT,11,1234,0.96,28,0.16
NVCMT,12,1344,3.21,11,1.09
304THN,12,1344,0.48,0,0.0
NVCNVL,12,1344,2.38,28,1.82
NVCCMT8,12,1344,0.36,1,3.5
32THN,12,1344,0.42,0,0.0
32NVL,12,1345,9.24,30,2.43
304NVL,12,1345,6.03,39,4.68
32MT,12,1346,1.19,25,1.02
NVCMT,13,1456,1.3,15,0.4
304THN,13,1456,0.0,0,0.0
NVCNVL,13,1456,4.7,26,4.15
NVCCMT8,13,1456,0.0,3,0.0
32THN,13,1456,0.21,0,0.0
32NVL,13,1457,22.13,22,12.93
304NVL,13,1457,1.02,36,0.42
32MT,13,1458,1.27,32,0.63
NVCMT,14,1568,0.27,11,0.05
304THN,14,1568,0.0,0,0.0
NVCNVL,14,1568,0.16,34,0.06
NVCCMT8,14,1568,0.0,4,0.0
32THN,14,1568,0.0,0,0.0
32NVL,14,1569,8.27,25,19.4
304NVL,14,1569,2.18,20,0.05
32MT,14,1571,0.0,16,0.0
NVCMT,15,1680,3.95,20,1.0
304THN,15,1680,0.0,0,0.0
NVCNVL,15,1680,0.54,40,0.28
NVCCMT8,15,1680,0.0,9,0.0
32THN,15,1680,0.0,0,0.0
304NVL,15,1681,1.11,31,1.94
32NVL,15,1682,25.3,14,1.36
32MT,15,1683,1.79,16,2.03
NVCMT,16,1792,3.21,14,5.11
304THN,16,1792,0.0,0,0.0
NVCNVL,16,1792,1.82,24,1.29
NVCCMT8,16,1792,0.5,4,0.88
32THN,16,1792,0.08,0,0.0
304NVL,16,1793,2.01,38,0.39
32NVL,16,1794,10.46,41,16.73
32MT,16,1795,4.46,24,6.48
NVCMT,17,1904,0.96,5,1.7
304THN,17,1904,0.0,0,0.0
NVCNVL,17,1904,0.0,26,0.08
NVCCMT8,17,1904,0.38,2,0.0
32THN,17,1904,0.0,0,0.0
304NVL,17,1905,0.27,16,0.0
32NVL,17,1906,7.66,22,8.0
32MT,17,1907,0.0,29,0.12
NVCMT,18,2016,0.82,12,0.5
304THN,18,2016,0.0,0,0.0
NVCNVL,18,2016,1.7,32,0.8
NVCCMT8,18,2016,0.0,1,0.0
32THN,18,2016,0.33,1,0.0
304NVL,18,2017,3.32,31,0.06
32NVL,18,2018,9.71,25,3.1
32MT,18,2019,5.3,25,6.12
NVCMT,19,2128,1.63,9,0.61
304THN,19,2128,0.0,0,0.0
NVCNVL,19,2128,0.89,26,0.12
NVCCMT8,19,2128,0.29,2,0.25
32THN,19,2128,0.0,0,0.0
304NVL,19,2129,2.29,51,1.76
32NVL,19,2130,12.48,27,14.02
32MT,19,2132,0.76,19,1.0
NVCMT,20,2240,2.73,18,0.64
304THN,20,2240,0.0,0,0.0
NVCNVL,20,2240,1.96,22,1.95
NVCCMT8,20,2240,0.0,4,0.0
32THN,20,2240,0.02,0,0.0
304NVL,20,2241,1.96,36,2.17
32NVL,20,2242,5.45,26,3.27
32MT,20,2244,5.77,27,5.98
NVCMT,21,2352,2.32,15,0.7
304THN,21,2352,0.0,0,0.0
NVCNVL,21,2352,0.0,27,0.06
NVCCMT8,21,2352,0.39,4,0.88
32THN,21,2352,0.1,0,0.0
304NVL,21,2353,4.59,29,1.84
32NVL,21,2354,3.54,21,4.12
32MT,21,2357,0.64,25,0.26
NVCMT,22,2464,1.7,14,1.57
304THN,22,2464,0.0,0,0.0
NVCNVL,22,2464,2.82,30,2.1
NVCCMT8,22,2464,0.0,4,0.0
32THN,22,2464,0.0,0,0.0
304NVL,22,2466,4.81,42,4.13
32NVL,22,2466,35.96,18,0.22
32MT,22,2469,0.88,21,1.1
NVCMT,23,2576,0.96,10,2.25
304THN,23,2576,0.0,0,0.0
NVCNVL,23,2576,0.39,28,0.05
NVCCMT8,23,2576,0.0,2,0.0
32THN,23,2576,0.23,0,0.0
304NVL,23,2578,1.9,30,1.55
32NVL,23,2578,13.14,31,37.58
32MT,23,2581,0.44,16,0.16
NVCMT,24,2688,2.09,10,0.9
304THN,24,2688,0.0,0,0.0
NVCNVL,24,2688,4.5,35,2.7
NVCCMT8,24,2688,0.0,4,0.0
32THN,24,2688,0.0,0,0.0
32NVL,24,2690,15.96,14,7.0
304NVL,24,2690,7.13,29,5.64
32MT,24,2693,4.96,28,5.04
NVCMT,25,2800,1.36,10,1.7
304THN,25,2800,0.36,0,0.0
NVCNVL,25,2800,0.0,26,0.0
NVCCMT8,25,2800,0.0,2,0.0
32THN,25,2800,0.71,0,0.0
32NVL,25,2802,7.91,26,14.9
304NVL,25,2802,5.71,28,1.89
32MT,25,2805,0.0,18,0.03
NVCMT,26,2912,0.82,16,0.34
304THN,26,2912,0.0,0,0.0
NVCNVL,26,2912,2.07,29,1.5
NVCCMT8,26,2912,0.2,6,0.0
32THN,26,2912,0.2,0,0.0
32NVL,26,2914,16.91,21,4.62
304NVL,26,2915,4.11,33,8.2
32MT,26,2918,3.03,26,2.88
NVCMT,27,3024,1.11,11,0.45
304THN,27,3024,0.0,0,0.0
NVCNVL,27,3024,4.39,16,6.66
NVCCMT8,27,3024,0.0,4,0.0
32THN,27,3024,0.08,0,0.0
32NVL,27,3026,10.43,30,15.73
304NVL,27,3027,5.28,35,0.03
32MT,27,3030,0.44,22,0.16
NVCMT,28,3136,0.63,13,0.19
304THN,28,3136,0.0,0,0.0
NVCNVL,28,3136,0.38,20,0.05
NVCCMT8,28,3136,0.0,4,0.0
32THN,28,3136,0.0,0,0.0
32NVL,28,3139,6.35,14,4.93
304NVL,28,3139,3.68,41,3.56
32MT,28,3143,16.59,29,19.03
NVCMT,29,3248,0.34,10,0.05
304THN,29,3248,0.33,0,0.0
NVCNVL,29,3248,1.34,29,0.64
NVCCMT8,29,3248,1.02,4,0.88
32THN,29,3248,0.0,0,0.0
32NVL,29,3251,18.88,18,5.67
304NVL,29,3251,7.49,45,5.58
32MT,29,3255,0.8,19,0.42
NVCMT,30,3360,1.32,16,0.47
304THN,30,3360,0.29,0,0.0
NVCNVL,30,3360,1.71,32,1.02
NVCCMT8,30,3360,0.0,3,0.0
32THN,30,3360,0.0,0,0.0
32NVL,30,3363,6.63,26,17.35
304NVL,30,3363,4.79,33,0.05
32MT,30,3368,3.37,29,2.93
NVCMT,31,3472,2.43,10,0.65
304THN,31,3472,0.0,0,0.0
NVCNVL,31,3472,6.91,33,3.45
NVCCMT8,31,3472,0.64,6,0.5
32THN,31,3472,0.0,0,0.0
32NVL,31,3475,9.09,31,6.0
304NVL,31,3476,1.36,21,9.4
32MT,31,3480,0.0,34,0.21
NVCMT,32,3584,3.09,16,1.84
304THN,32,3584,0.0,0,0.0
NVCNVL,32,3584,0.0,20,0.0
NVCCMT8,32,3584,0.0,2,0.0
32THN,32,3584,0.38,0,0.0
32NVL,32,3587,5.92,19,4.32
304NVL,32,3588,2.77,35,0.09
