Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
NVCMT,1,112,2.34,10,0.65
304THN,1,112,0.0,0,0.0
NVCNVL,1,112,2.29,12,3.58
32NVL,1,112,7.88,2,0.0
32MT,1,112,0.0,1,0.0
304NVL,1,112,3.47,8,2.31
NVCCMT8,1,112,0.0,4,0.0
32THN,1,112,0.0,0,0.0
NVCMT,2,224,0.88,11,2.68
304THN,2,224,0.0,1,0.0
NVCNVL,2,224,5.68,22,5.86
32NVL,2,224,17.91,24,10.94
32MT,2,224,2.52,24,2.17
NVCCMT8,2,224,0.59,9,0.11
32THN,2,224,0.47,0,0.0
304NVL,2,224,6.48,26,9.81
NVCMT,3,336,3.63,22,0.98
304THN,3,336,0.0,0,0.0
NVCNVL,3,336,0.0,45,0.02
32NVL,3,336,15.63,56,11.69
NVCCMT8,3,336,0.63,13,0.23
32THN,3,336,0.41,0,0.0
32MT,3,336,1.05,44,0.43
304NVL,3,336,4.98,37,0.04
NVCMT,4,448,2.63,17,1.53
304THN,4,448,0.0,0,0.0
NVCNVL,4,448,0.82,56,0.07
32NVL,4,448,13.75,47,6.03
NVCCMT8,4,448,0.0,12,0.0
32THN,4,448,0.45,0,0.0
32MT,4,449,2.33,49,0.73
304NVL,4,449,12.67,55,4.94
NVCMT,5,560,3.36,32,1.22
304THN,5,560,0.98,0,0.0
NVCNVL,5,560,0.52,60,0.03
NVCCMT8,5,560,0.8,5,1.2
32THN,5,560,0.43,0,0.0
32NVL,5,560,34.86,61,9.21
304NVL,5,561,7.63,67,2.02
32MT,5,561,6.21,56,3.43
NVCMT,6,672,2.21,21,0.5
304THN,6,672,0.33,1,17.5
NVCNVL,6,672,3.7,61,1.5
NVCCMT8,6,672,0.98,10,0.5
32THN,6,672,0.08,0,0.0
32NVL,6,673,72.6,41,16.56
32MT,6,673,21.51,51,12.58
304NVL,6,673,11.67,56,6.89
NVCMT,7,784,4.34,24,0.98
304THN,7,784,0.0,0,0.0
NVCNVL,7,784,0.84,62,0.07
NVCCMT8,7,784,0.39,6,0.25
32THN,7,784,0.28,0,0.0
32NVL,7,785,55.64,78,25.98
304NVL,7,785,11.71,90,1.81
32MT,7,786,1.49,53,1.0
NVCMT,8,896,4.7,25,0.86
304THN,8,896,0.28,0,0.0
NVCNVL,8,896,6.43,45,2.98
NVCCMT8,8,896,0.0,9,0.0
32THN,8,896,0.43,0,0.0
32NVL,8,897,15.73,51,5.95
304NVL,8,897,6.31,79,2.8
32MT,8,898,4.53,52,2.17
NVCMT,9,1008,6.77,29,3.17
304THN,9,1008,0.28,0,0.0
NVCNVL,9,1008,0.21,62,0.08
NVCCMT8,9,1008,0.93,10,0.7
32THN,9,1008,0.24,0,0.0
32NVL,9,1009,15.02,64,6.12
304NVL,9,1009,10.13,99,2.08
32MT,9,1010,1.0,48,0.51
NVCMT,10,1120,2.25,33,0.08
304THN,10,1120,0.0,0,0.0
NVCNVL,10,1120,6.29,58,2.17
NVCCMT8,10,1120,0.45,8,0.31
32THN,10,1120,0.0,0,0.0
32NVL,10,1121,19.27,63,5.94
304NVL,10,1122,5.79,75,2.73
32MT,10,1123,8.72,52,5.22
