Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
NVCMT,1,112,0.13,0,0.0
NVCMT,1,112,0.13,0,0.0
NVCMT,1,112,0.13,1,0.0
NVCMT,1,112,0.13,1,0.0
304THN,1,112,0.0,0,0.0
304THN,1,112,0.0,0,0.0
304THN,1,112,0.0,0,0.0
NVCNVL,1,112,0.0,1,0.0
NVCNVL,1,112,0.0,3,0.0
NVCNVL,1,112,0.0,1,0.0
NVCNVL,1,112,0.0,1,0.0
32NVL,1,112,0.74,1,0.0
32NVL,1,112,0.74,1,0.0
32NVL,1,112,0.74,1,0.0
32NVL,1,112,0.74,0,0.0
32MT,1,112,0.0,3,0.0
32MT,1,112,0.0,4,0.0
32MT,1,112,0.0,2,0.0
304NVL,1,112,0.0,0,0.0
304NVL,1,112,0.0,0,0.0
304NVL,1,112,0.0,0,0.0
NVCCMT8,1,112,0.0,0,0.0
NVCCMT8,1,112,0.0,0,0.0
NVCCMT8,1,112,0.0,0,0.0
NVCCMT8,1,112,0.0,0,0.0
32THN,1,112,0.0,0,0.0
32THN,1,112,0.0,0,0.0
NVCMT,2,224,0.55,4,0.5
NVCMT,2,224,0.55,5,2.8
NVCMT,2,224,0.55,3,0.0
NVCMT,2,224,0.55,3,0.0
304THN,2,224,0.0,0,0.0
304THN,2,224,0.0,0,0.0
304THN,2,224,0.0,0,0.0
NVCNVL,2,224,0.48,5,0.0
NVCNVL,2,224,0.48,7,4.43
NVCNVL,2,224,0.48,5,0.0
NVCNVL,2,224,0.48,5,0.0
32NVL,2,224,1.07,5,0.0
32NVL,2,224,1.07,5,0.0
32NVL,2,224,1.07,5,12.5
32NVL,2,224,1.07,4,0.0
32MT,2,224,0.49,6,0.0
32MT,2,224,0.49,8,0.0
32MT,2,224,0.49,7,6.43
304NVL,2,224,0.44,3,0.0
304NVL,2,224,0.44,6,5.83
304NVL,2,224,0.44,3,0.0
NVCCMT8,2,224,0.0,0,0.0
NVCCMT8,2,224,0.0,0,0.0
NVCCMT8,2,224,0.0,1,0.0
NVCCMT8,2,224,0.0,1,0.0
32THN,2,224,0.0,0,0.0
32THN,2,224,0.0,0,0.0
NVCMT,3,336,0.32,4,0.25
NVCMT,3,336,0.32,4,10.0
NVCMT,3,336,0.32,3,0.0
NVCMT,3,336,0.32,3,0.0
304THN,3,336,0.0,0,0.0
304THN,3,336,0.0,0,0.0
304THN,3,336,0.0,0,0.0
NVCNVL,3,336,0.18,7,0.0
NVCNVL,3,336,0.18,9,1.11
NVCNVL,3,336,0.18,9,0.0
NVCNVL,3,336,0.18,8,0.0
32NVL,3,336,0.8,13,3.35
32NVL,3,336,0.8,11,0.0
32NVL,3,336,0.8,11,2.45
32NVL,3,336,0.8,6,10.83
304NVL,3,336,0.32,6,0.0
304NVL,3,336,0.32,7,3.79
304NVL,3,336,0.32,7,0.0
NVCCMT8,3,336,0.1,3,0.83
NVCCMT8,3,336,0.1,1,0.0
NVCCMT8,3,336,0.1,0,0.0
NVCCMT8,3,336,0.1,0,0.0
32THN,3,336,0.2,0,0.0
32THN,3,336,0.2,0,0.0
32MT,3,336,1.61,5,0.0
32MT,3,336,1.61,7,0.0
32MT,3,336,1.61,6,23.92
NVCMT,4,448,0.53,8,0.25
NVCMT,4,448,0.53,6,2.25
NVCMT,4,448,0.53,3,0.0
NVCMT,4,448,0.53,5,0.1
304THN,4,448,0.0,0,0.0
304THN,4,448,0.0,0,0.0
304THN,4,448,0.0,0,0.0
NVCNVL,4,448,0.23,7,0.0
NVCNVL,4,448,0.23,10,1.65
NVCNVL,4,448,0.23,8,0.0
NVCNVL,4,448,0.23,7,0.0
32NVL,4,448,2.03,7,0.07
32NVL,4,448,2.03,6,4.83
32NVL,4,448,2.03,5,0.0
32NVL,4,448,2.03,7,0.57
304NVL,4,448,0.38,2,0.0
304NVL,4,448,0.38,4,0.0
304NVL,4,448,0.38,2,0.0
NVCCMT8,4,448,0.15,1,5.0
NVCCMT8,4,448,0.15,0,0.0
NVCCMT8,4,448,0.15,1,0.0
NVCCMT8,4,448,0.15,1,0.0
32THN,4,448,0.0,0,0.0
32THN,4,448,0.0,1,9.0
32MT,4,448,1.19,10,0.0
32MT,4,448,1.19,12,0.0
32MT,4,448,1.19,8,11.31
NVCMT,5,560,0.18,6,0.25
NVCMT,5,560,0.18,5,4.8
NVCMT,5,560,0.18,2,0.0
NVCMT,5,560,0.18,4,1.0
304THN,5,560,0.0,0,0.0
304THN,5,560,0.0,0,0.0
304THN,5,560,0.0,0,0.0
NVCNVL,5,560,0.45,5,0.0
NVCNVL,5,560,0.45,4,10.5
NVCNVL,5,560,0.45,5,0.0
NVCNVL,5,560,0.45,5,0.0
32NVL,5,560,2.49,12,3.58
32NVL,5,560,2.49,7,0.0
32NVL,5,560,2.49,8,10.75
32NVL,5,560,2.49,11,2.91
NVCCMT8,5,560,0.0,0,0.0
NVCCMT8,5,560,0.0,0,0.0
NVCCMT8,5,560,0.0,1,0.0
NVCCMT8,5,560,0.0,1,0.0
32THN,5,560,0.0,0,0.0
32THN,5,560,0.0,0,0.0
32MT,5,560,0.0,14,0.04
32MT,5,560,0.0,8,0.0
32MT,5,560,0.0,5,0.5
304NVL,5,560,2.65,9,0.0
