'Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay'
Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,120,0,0,0.0
intersection35,1,120,0,2,0.0
intersection40,1,120,0,1,0.0
intersection44,1,120,0,0,0.0
intersection97,1,120,0,0,0.0
intersection109,1,120,0,2,34.75
intersection133,1,120,0,0,0.0
intersection141,1,120,0,0,0.0
intersection133,2,236,0,0,0.0
intersection141,2,236,0,0,0.0
intersection33,2,236,0,3,2.67
intersection35,2,236,0,7,0.0
intersection40,2,236,0,4,12.88
intersection44,2,236,0,7,0.64
intersection97,2,236,0,0,0.0
intersection109,2,236,0,1,0.0
intersection133,3,352,0,0,0.0
intersection141,3,352,0,0,0.0
intersection33,3,353,0,14,32.82
intersection35,3,353,0,11,0.0
intersection40,3,353,0,5,18.6
intersection44,3,353,0,3,0.0
intersection97,3,353,0,0,0.0
intersection109,3,353,0,9,31.5
intersection133,4,468,0,0,0.0
intersection141,4,468,0,0,0.0
intersection33,4,469,0,21,7.83
intersection35,4,469,0,21,24.05
intersection40,4,469,0,11,14.55
intersection44,4,469,0,2,61.75
intersection97,4,469,0,3,19.33
intersection109,4,469,0,8,27.75
intersection133,5,584,0,0,0.0
intersection141,5,584,0,0,0.0
intersection33,5,586,0,17,18.12
intersection35,5,586,0,16,40.66
intersection40,5,586,0,4,2.88
intersection44,5,586,0,5,16.2
intersection97,5,586,0,2,35.0
intersection109,5,586,0,12,20.38
intersection133,6,700,0,0,0.0
intersection141,6,700,0,0,0.0
intersection33,6,702,0,18,8.19
intersection35,6,702,0,14,28.07
intersection40,6,702,0,15,22.33
intersection44,6,702,0,11,5.86
intersection97,6,702,0,0,0.0
intersection109,6,702,0,16,30.84
intersection133,7,816,0,0,0.0
intersection141,7,816,0,0,0.0
intersection33,7,819,0,17,18.91
intersection35,7,819,0,7,37.5
intersection40,7,819,0,12,5.5
intersection44,7,819,0,4,7.38
intersection97,7,819,0,1,0.0
intersection109,7,819,0,5,2.4
intersection133,8,932,0,0,0.0
intersection141,8,932,0,0,0.0
intersection33,8,935,0,25,15.62
intersection35,8,935,0,11,42.32
intersection40,8,935,0,21,26.86
intersection44,8,935,0,9,3.61
intersection97,8,935,0,1,33.5
intersection109,8,935,0,9,18.28
intersection133,9,1048,0,0,0.0
intersection141,9,1048,0,0,0.0
intersection33,9,1052,0,20,3.28
intersection35,9,1052,0,13,28.08
intersection40,9,1052,0,17,6.79
intersection44,9,1052,0,13,34.31
intersection97,9,1052,0,1,0.0
intersection109,9,1052,0,3,16.83
intersection133,10,1164,0,0,0.0
intersection141,10,1164,0,0,0.0
intersection33,10,1168,0,20,12.15
intersection35,10,1168,0,14,28.18
intersection40,10,1168,0,14,29.61
intersection44,10,1168,0,8,2.19
intersection97,10,1168,0,1,65.5
intersection109,10,1168,0,13,13.38
intersection133,11,1280,0,0,0.0
intersection141,11,1280,0,0,0.0
intersection33,11,1285,0,26,26.19
intersection35,11,1285,0,17,16.79
intersection40,11,1285,0,12,6.04
intersection44,11,1285,0,8,10.5
intersection97,11,1285,0,0,0.0
intersection109,11,1285,0,4,12.63
intersection133,12,1396,0,0,0.0
intersection141,12,1396,0,0,0.0
intersection33,12,1401,0,13,6.12
intersection35,12,1401,0,15,53.1
intersection40,12,1401,0,11,15.18
intersection44,12,1401,0,6,12.92
intersection97,12,1401,0,4,19.63
intersection109,12,1401,0,18,62.56
intersection133,13,1512,0,0,0.0
intersection141,13,1512,0,0,0.0
intersection33,13,1518,0,18,41.53
intersection35,13,1518,0,11,12.36
intersection40,13,1518,0,15,3.8
intersection44,13,1518,0,9,12.56
intersection97,13,1518,0,2,29.25
intersection109,13,1518,0,6,5.58
intersection133,14,1628,0,0,0.0
intersection141,14,1628,0,0,0.0
intersection33,14,1634,0,25,12.84
intersection35,14,1634,0,16,24.41
intersection40,14,1634,0,17,7.94
intersection44,14,1634,0,7,9.86
intersection97,14,1634,0,1,26.0
intersection109,14,1634,0,13,26.08
intersection133,15,1744,0,0,0.0
intersection141,15,1744,0,0,0.0
intersection33,15,1751,0,24,15.85
intersection35,15,1751,0,14,42.21
intersection40,15,1751,0,12,6.71
intersection44,15,1751,0,6,16.75
intersection97,15,1751,0,2,56.25
intersection109,15,1751,0,5,0.0
intersection133,16,1860,0,0,0.0
intersection141,16,1860,0,0,0.0
intersection33,16,1867,0,20,10.13
intersection35,16,1867,0,15,13.4
intersection40,16,1867,0,17,32.88
intersection44,16,1867,0,9,9.89
intersection97,16,1867,0,2,0.0
intersection109,16,1867,0,15,34.77
intersection133,17,1976,0,0,0.0
intersection141,17,1976,0,1,0.0
intersection33,17,1984,0,23,37.5
intersection35,17,1984,0,12,29.04
intersection40,17,1984,0,8,4.75
intersection44,17,1984,0,7,9.71
intersection97,17,1984,0,1,70.0
intersection109,17,1984,0,2,25.0
intersection133,18,2092,0,0,0.0
intersection141,18,2092,0,0,0.0
intersection33,18,2100,0,29,18.02
intersection35,18,2100,0,10,15.9
intersection40,18,2100,0,21,29.43
intersection44,18,2100,0,5,11.6
intersection97,18,2100,0,2,23.25
intersection109,18,2100,0,19,33.32
intersection133,19,2208,0,0,0.0
intersection141,19,2208,0,0,0.0
intersection33,19,2217,0,18,6.69
intersection35,19,2217,0,14,27.11
intersection40,19,2217,0,10,5.9
intersection44,19,2217,0,4,1.88
intersection97,19,2217,0,0,0.0
intersection109,19,2217,0,7,0.0
intersection133,20,2324,0,0,0.0
intersection141,20,2324,0,0,0.0
intersection33,20,2333,0,27,20.44
intersection35,20,2333,0,13,30.42
intersection40,20,2333,0,19,8.18
intersection44,20,2333,0,11,19.68
intersection97,20,2333,0,0,0.0
intersection109,20,2333,0,6,8.08
intersection133,21,2440,0,0,0.0
intersection141,21,2440,0,0,0.0
intersection33,21,2450,0,13,1.69
intersection35,21,2450,0,8,52.88
intersection40,21,2450,0,13,17.46
intersection44,21,2450,0,6,0.67
intersection97,21,2450,0,5,52.8
intersection109,21,2450,0,12,17.33
intersection133,22,2556,0,0,0.0
intersection141,22,2556,0,0,0.0
intersection33,22,2566,0,17,30.82
intersection35,22,2566,0,17,31.06
intersection40,22,2566,0,8,14.88
intersection44,22,2566,0,7,6.57
intersection97,22,2566,0,0,0.0
intersection109,22,2566,0,10,1.55
intersection133,23,2672,0,0,0.0
intersection141,23,2672,0,0,0.0
intersection33,23,2683,0,21,13.19
intersection35,23,2683,0,23,28.57
intersection40,23,2683,0,14,20.18
intersection44,23,2683,0,9,26.78
intersection97,23,2683,0,1,33.0
intersection109,23,2683,0,12,83.67
intersection133,24,2788,0,0,0.0
intersection141,24,2788,0,0,0.0
intersection33,24,2799,0,19,3.24
intersection35,24,2799,0,9,6.78
intersection40,24,2799,0,12,19.54
intersection44,24,2799,0,3,1.33
intersection97,24,2799,0,2,31.0
intersection109,24,2799,0,9,11.56
intersection133,25,2904,0,0,0.0
intersection141,25,2904,0,1,0.0
intersection33,25,2916,0,24,42.04
intersection35,25,2916,0,10,26.4
intersection40,25,2916,0,10,10.15
intersection44,25,2916,0,9,8.39
intersection97,25,2916,0,1,49.0
intersection109,25,2916,0,19,28.45
intersection133,26,3020,0,0,0.0
intersection141,26,3021,0,0,0.0
intersection33,26,3032,0,27,4.78
intersection35,26,3032,0,17,26.85
intersection40,26,3032,0,16,41.75
intersection44,26,3032,0,5,0.0
intersection97,26,3032,0,2,0.0
intersection109,26,3032,0,8,39.75
intersection133,27,3136,0,0,0.0
intersection141,27,3137,0,0,0.0
intersection33,27,3149,0,18,8.61
intersection35,27,3149,0,15,19.87
intersection40,27,3149,0,13,13.35
intersection44,27,3149,0,11,5.59
intersection97,27,3149,0,2,18.75
intersection109,27,3149,0,5,17.4
intersection133,28,3252,0,0,0.0
intersection141,28,3253,0,0,0.0
intersection33,28,3265,0,17,11.0
intersection35,28,3265,0,16,28.28
intersection40,28,3265,0,7,9.93
intersection44,28,3265,0,7,10.07
intersection97,28,3265,0,1,0.0
intersection109,28,3265,0,16,7.72
intersection133,29,3368,0,0,0.0
intersection141,29,3369,0,0,0.0
intersection33,29,3382,0,13,15.19
intersection35,29,3382,0,15,37.27
intersection40,29,3382,0,22,25.48
intersection44,29,3382,0,4,5.5
intersection97,29,3382,0,0,0.0
intersection109,29,3382,0,6,11.58
intersection133,30,3484,0,0,0.0
intersection141,30,3485,0,0,0.0
intersection33,30,3498,0,22,15.07
intersection35,30,3498,0,8,17.13
intersection40,30,3498,0,8,13.38
intersection44,30,3498,0,7,1.14
intersection97,30,3498,0,2,79.5
intersection109,30,3498,0,21,9.43
intersection133,31,3600,0,0,0.0
