Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,120,0,8,9.06
intersection35,1,120,4,5,0.2
intersection40,1,120,8,8,1.31
intersection44,1,120,7,6,0.0
intersection97,1,120,1,0,0.0
intersection109,1,120,4,0,0.0
intersection133,1,120,0,0,0.0
intersection141,1,120,0,0,0.0
intersection133,2,236,0,0,0.0
intersection141,2,236,0,1,0.0
intersection33,2,236,9,18,7.06
intersection35,2,236,27,17,3.41
intersection40,2,236,17,25,11.9
intersection44,2,236,8,17,4.44
intersection97,2,236,1,3,25.0
intersection109,2,236,12,8,9.38
intersection133,3,352,0,0,0.0
intersection141,3,352,0,0,0.0
intersection33,3,353,13,32,8.45
intersection35,3,353,9,38,37.58
intersection40,3,353,18,34,18.38
intersection44,3,353,15,19,6.68
intersection97,3,353,0,7,27.5
intersection109,3,353,26,12,15.25
intersection133,4,468,0,0,0.0
intersection141,4,468,0,0,0.0
intersection33,4,469,22,52,7.58
intersection35,4,469,20,41,22.09
intersection40,4,469,10,37,15.35
intersection44,4,469,11,28,9.18
intersection97,4,469,1,6,23.25
intersection109,4,469,11,29,32.17
intersection133,5,584,0,0,0.0
intersection141,5,584,0,0,0.0
intersection33,5,586,12,55,28.4
intersection35,5,586,38,41,19.48
intersection40,5,586,29,25,11.1
intersection44,5,586,16,24,4.48
intersection97,5,586,1,6,26.0
intersection109,5,586,31,22,5.68
intersection141,6,700,0,0,0.0
intersection133,6,701,0,0,0.0
intersection33,6,702,24,62,11.56
intersection35,6,702,31,53,26.12
intersection40,6,702,16,47,28.53
intersection44,6,702,5,19,9.92
intersection97,6,702,1,1,0.0
intersection109,6,702,9,32,20.47
intersection141,7,816,0,1,0.0
intersection133,7,817,0,0,0.0
intersection33,7,819,28,51,28.66
intersection35,7,819,27,49,23.84
intersection40,7,819,18,27,7.83
intersection44,7,819,19,12,10.21
intersection97,7,819,5,13,29.96
intersection109,7,819,42,24,16.13
intersection133,8,933,0,0,0.0
intersection141,8,933,0,1,0.0
intersection33,8,935,39,60,14.03
intersection35,8,935,10,31,20.15
intersection40,8,935,21,51,16.84
intersection44,8,935,11,33,9.67
intersection97,8,935,1,10,8.1
intersection109,8,935,8,61,33.02
intersection133,9,1049,0,0,0.0
intersection141,9,1049,1,0,0.0
intersection33,9,1052,22,49,34.5
intersection35,9,1052,23,30,38.47
intersection40,9,1052,29,33,16.97
intersection44,9,1052,17,18,11.28
intersection97,9,1052,2,11,5.82
intersection109,9,1052,28,14,10.64
intersection133,10,1165,0,0,0.0
intersection141,10,1166,0,1,1.5
intersection33,10,1168,11,75,13.37
intersection35,10,1168,33,58,36.58
intersection40,10,1168,17,49,27.93
intersection44,10,1168,15,34,22.03
intersection97,10,1168,0,13,10.35
intersection109,10,1168,25,30,33.25
intersection133,11,1281,0,0,0.0
intersection141,11,1282,0,0,0.0
intersection33,11,1285,20,65,14.03
intersection35,11,1285,40,38,38.61
intersection40,11,1285,27,39,9.64
intersection44,11,1285,7,31,3.87
intersection97,11,1285,0,5,15.8
intersection109,11,1285,32,32,15.56
intersection133,12,1397,0,0,0.0
intersection141,12,1398,0,0,0.0
intersection33,12,1401,12,56,27.26
intersection35,12,1401,42,33,38.59
intersection40,12,1401,24,43,18.98
intersection44,12,1401,20,12,26.29
intersection97,12,1401,1,1,47.5
intersection109,12,1401,23,29,18.24
intersection133,13,1513,0,0,0.0
intersection141,13,1514,0,0,0.0
intersection33,13,1518,11,63,6.76
intersection35,13,1518,34,47,44.26
intersection40,13,1518,22,50,17.58
intersection44,13,1518,7,27,34.76
intersection97,13,1518,3,7,58.93
intersection109,13,1518,36,25,28.4
intersection133,14,1629,0,0,0.0
intersection141,14,1630,0,0,0.0
intersection33,14,1634,31,71,6.97
intersection35,14,1634,30,29,48.9
intersection40,14,1634,19,44,21.97
intersection44,14,1634,23,19,3.5
intersection97,14,1634,2,7,7.93
intersection109,14,1634,26,36,15.39
intersection133,15,1745,0,0,0.0
intersection141,15,1746,0,0,0.0
intersection33,15,1751,26,45,33.56
intersection35,15,1751,41,57,44.36
intersection40,15,1751,15,39,4.1
intersection44,15,1751,18,36,34.81
intersection97,15,1751,1,4,19.5
intersection109,15,1751,24,26,18.19
intersection133,16,1861,0,0,0.0
intersection141,16,1862,0,0,0.0
intersection33,16,1867,23,68,10.9
intersection35,16,1867,24,47,19.59
