Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,112,2,3,0.17
intersection35,1,112,1,0,0.0
intersection40,1,112,2,2,13.75
intersection44,1,112,5,0,0.0
intersection97,1,112,0,0,0.0
intersection109,1,112,1,1,25.5
intersection133,1,112,0,0,0.0
intersection141,1,112,0,0,0.0
intersection133,2,224,0,0,0.0
intersection141,2,224,0,0,0.0
intersection33,2,224,1,10,8.85
intersection35,2,224,6,4,0.38
intersection40,2,224,5,10,14.1
intersection44,2,224,2,6,6.0
intersection97,2,224,1,0,0.0
intersection109,2,224,5,1,19.5
intersection133,3,336,0,0,0.0
intersection141,3,336,0,0,0.0
intersection33,3,337,4,17,12.59
intersection35,3,337,8,26,26.6
intersection40,3,337,6,10,11.05
intersection44,3,337,8,4,1.63
intersection97,3,337,1,11,33.64
intersection109,3,337,7,5,14.1
intersection133,4,448,0,0,0.0
intersection141,4,448,0,0,0.0
intersection33,4,449,10,20,8.93
intersection35,4,449,18,9,16.06
intersection40,4,449,4,13,5.04
intersection44,4,449,9,12,4.33
intersection97,4,449,1,4,0.75
intersection109,4,449,7,8,13.81
intersection133,5,560,0,0,0.0
intersection141,5,560,0,0,0.0
intersection33,5,562,10,31,11.03
intersection35,5,562,5,21,52.07
intersection40,5,562,12,11,11.18
intersection44,5,562,4,14,17.04
intersection97,5,562,1,1,0.0
intersection109,5,562,7,18,7.11
intersection133,6,672,0,0,0.0
intersection141,6,672,0,0,0.0
intersection33,6,674,10,20,13.73
intersection35,6,674,17,14,14.29
intersection40,6,674,6,23,13.74
intersection44,6,674,6,7,6.57
intersection97,6,674,0,7,47.21
intersection109,6,674,5,11,17.59
intersection133,7,784,0,0,0.0
intersection141,7,784,0,0,0.0
intersection33,7,787,6,29,10.45
intersection35,7,787,10,21,23.71
intersection40,7,787,7,12,13.42
intersection44,7,787,4,14,3.79
intersection97,7,787,0,2,0.0
intersection109,7,787,10,13,8.42
intersection133,8,896,0,0,0.0
intersection141,8,896,0,0,0.0
intersection33,8,899,13,30,6.27
intersection35,8,899,4,14,34.04
intersection40,8,899,15,10,12.35
intersection44,8,899,7,13,18.92
intersection97,8,899,0,5,31.7
intersection109,8,899,10,15,20.2
intersection133,9,1008,0,0,0.0
intersection141,9,1008,0,0,0.0
intersection33,9,1012,3,18,21.47
intersection35,9,1012,19,14,27.86
intersection40,9,1012,6,26,14.98
intersection44,9,1012,4,15,7.37
intersection97,9,1012,0,2,13.5
intersection109,9,1012,19,9,4.39
intersection133,10,1120,0,0,0.0
intersection141,10,1120,0,0,0.0
intersection33,10,1124,10,28,13.98
intersection35,10,1124,8,15,22.67
intersection40,10,1124,23,13,7.04
intersection44,10,1124,4,12,4.17
intersection97,10,1124,0,0,0.0
intersection109,10,1124,6,12,35.04
intersection133,11,1232,0,0,0.0
intersection141,11,1232,0,0,0.0
intersection33,11,1237,4,39,21.31
intersection35,11,1237,13,17,26.26
intersection40,11,1237,4,25,42.48
intersection44,11,1237,8,9,15.39
intersection97,11,1237,0,4,19.0
intersection109,11,1237,10,14,11.68
intersection133,12,1344,0,0,0.0
intersection141,12,1344,0,0,0.0
