Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,112,5,10,6.2
intersection35,1,112,3,4,0.0
intersection40,1,112,3,7,0.07
intersection44,1,112,6,5,0.0
intersection97,1,112,0,1,0.0
intersection109,1,112,4,1,5.0
intersection133,1,112,0,0,0.0
intersection141,1,112,0,0,0.0
intersection133,2,224,0,0,0.0
intersection141,2,224,0,0,0.0
intersection33,2,224,7,30,7.08
intersection35,2,224,15,19,0.76
intersection40,2,224,6,20,14.43
intersection44,2,224,11,6,0.0
intersection97,2,224,0,4,19.0
intersection109,2,224,8,10,19.45
intersection133,3,336,0,0,0.0
intersection141,3,336,0,0,0.0
intersection33,3,337,14,24,8.38
intersection35,3,337,28,38,25.53
intersection40,3,337,18,20,3.4
intersection44,3,337,13,17,4.24
intersection97,3,337,0,7,33.21
intersection109,3,337,19,11,16.59
intersection133,4,448,0,0,0.0
intersection141,4,448,0,0,0.0
intersection33,4,449,22,56,16.35
intersection35,4,449,18,38,33.47
intersection40,4,449,13,37,21.92
intersection44,4,449,13,27,1.7
intersection97,4,449,2,4,28.75
intersection109,4,449,32,16,21.94
intersection133,5,560,0,0,0.0
intersection141,5,560,0,0,0.0
intersection33,5,562,27,54,11.46
intersection35,5,562,33,47,17.97
intersection40,5,562,23,25,6.26
intersection44,5,562,9,25,9.64
intersection97,5,562,0,7,21.79
intersection109,5,562,26,29,18.41
