'Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay'
Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,120,0,3,0.0
intersection35,1,120,0,1,0.0
intersection40,1,120,0,0,0.0
intersection44,1,120,0,1,0.0
intersection97,1,120,0,1,0.0
intersection109,1,120,0,0,0.0
intersection133,1,120,0,0,0.0
intersection141,1,120,0,0,0.0
intersection40,2,236,0,2,0.0
intersection133,2,236,0,0,0.0
intersection141,2,236,0,0,0.0
intersection33,2,236,0,3,0.0
intersection35,2,236,0,7,23.21
intersection44,2,236,0,5,0.0
intersection97,2,236,0,0,0.0
intersection109,2,236,0,5,9.1
intersection133,3,352,0,0,0.0
intersection141,3,352,0,0,0.0
intersection40,3,352,0,11,28.5
intersection33,3,353,0,10,10.45
intersection35,3,353,0,8,9.25
intersection44,3,353,0,1,0.0
intersection97,3,353,0,0,0.0
intersection109,3,353,0,3,0.17
intersection141,4,468,0,0,0.0
intersection133,4,468,0,0,0.0
intersection40,4,469,0,6,19.08
intersection33,4,469,0,16,8.81
intersection35,4,469,0,11,20.09
intersection44,4,469,0,2,3.25
intersection97,4,469,0,0,0.0
intersection109,4,469,0,5,65.2
intersection141,5,584,0,0,0.0
intersection133,5,585,0,0,0.0
intersection40,5,585,0,10,39.85
intersection33,5,586,0,13,22.73
intersection35,5,586,0,10,52.8
intersection44,5,586,0,4,4.63
intersection97,5,586,0,4,40.88
intersection109,5,586,0,6,5.58
intersection141,6,700,0,0,0.0
intersection133,6,701,0,0,0.0
intersection40,6,702,0,11,7.05
intersection33,6,702,0,19,12.97
intersection35,6,702,0,10,6.65
intersection44,6,702,0,8,3.31
intersection97,6,702,0,2,0.0
intersection109,6,702,0,9,22.33
intersection141,7,816,0,0,0.0
intersection133,7,817,0,0,0.0
intersection40,7,818,0,15,20.1
intersection33,7,819,0,17,32.18
intersection35,7,819,0,14,28.61
intersection44,7,819,0,9,8.78
intersection97,7,819,0,1,6.0
intersection109,7,819,0,5,24.2
intersection141,8,932,0,0,0.0
intersection133,8,933,0,0,0.0
intersection40,8,935,0,12,4.58
intersection33,8,935,0,21,13.74
intersection35,8,935,0,12,35.63
intersection44,8,935,0,3,9.0
intersection97,8,935,0,2,17.25
intersection109,8,935,0,6,21.33
intersection141,9,1048,0,0,0.0
intersection133,9,1049,0,0,0.0
intersection40,9,1051,0,13,18.73
intersection33,9,1052,0,20,13.7
