Time_Seconds,Lane_ID,Phase_ID,Density_Phi,Pressure_W
20,NvcNvl_L3_NS,NONE,0.007,0.0
20,NvcNvl_L2_NS,NONE,0.007,0.0
20,NvcNvl_L1_NS,NONE,0.009,0.0
25,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
25,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
30,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
30,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
35,32Nvl_L3_NS,NONE,0.008,0.0
35,32Nvl_L2_NS,32NVL_NS,0.008,0.008
35,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
35,32Nvl_L1_NS,32NVL_NS,0.007,0.007
35,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
40,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
40,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
45,NvcMt_L1_EW,NVCMT_EW,0.038,0.038
45,NvcMt_L2_EW,NVCMT_EW,0.048,0.048
50,NvcMt_L1_EW,NVCMT_EW,0.044,0.044
50,NvcMt_L2_EW,NVCMT_EW,0.056,0.056
55,NvcMt_L1_EW,NVCMT_EW,0.044,0.044
55,NvcMt_L2_EW,NVCMT_EW,0.056,0.056
60,NvcNvl_L1_EW,NVCNVL_EW,0.007,-0.002
60,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
60,32Mt_L1_NS,32MT_NS,0.006,0.006
60,NvcMt_L1_EW,NVCMT_EW,0.013,0.008
60,NvcNvl_L3_EW,NONE,0.009,0.0
60,32Mt_L2_NS,32MT_NS,0.006,0.006
60,NvcMt_L2_EW,NVCMT_EW,0.016,0.01
65,32Mt_L1_NS,32MT_NS,0.006,0.006
65,32Mt_L2_NS,32MT_NS,0.006,0.006
70,32Nvl_L1_EW,32NVL_EW,0.007,0.007
70,32Nvl_L2_EW,32NVL_EW,0.008,0.008
70,32Mt_L1_NS,32MT_NS,0.006,0.006
70,NvcMt_L2_NS,NONE,0.005,0.0
70,32Nvl_L3_EW,NONE,0.006,0.0
70,32Mt_L2_NS,32MT_NS,0.006,0.006
70,NvcMt_L1_NS,NONE,0.005,0.0
75,NvcNvl_L3_NS,NONE,0.007,0.0
75,NvcNvl_L2_NS,NONE,0.007,0.0
75,NvcNvl_L1_NS,NONE,0.009,0.0
80,304Nvl_L1_NS,304NVL_NS,0.009,0.009
80,304Nvl_L3_NS,NONE,0.007,0.0
80,304Nvl_L2_NS,304NVL_NS,0.008,0.008
85,304Nvl_L1_NS,304NVL_NS,0.009,0.009
85,304Nvl_L3_NS,NONE,0.007,0.0
85,32Nvl_L3_NS,NONE,0.008,0.0
85,32Nvl_L2_NS,32NVL_NS,0.008,0.003
85,32Mt_L1_EW,NONE,0.007,0.0
85,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
85,304Nvl_L2_NS,304NVL_NS,0.008,0.002
85,32Nvl_L1_NS,32NVL_NS,0.007,0.0
85,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
90,304Nvl_L1_NS,304NVL_NS,0.009,0.009
90,304Nvl_L3_NS,NONE,0.007,0.0
90,32Nvl_L3_NS,NONE,0.008,0.0
90,32Nvl_L2_NS,32NVL_NS,0.008,0.003
90,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
90,304Nvl_L2_NS,304NVL_NS,0.008,0.002
90,32Nvl_L1_NS,32NVL_NS,0.007,0.0
90,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
95,304Nvl_L1_NS,304NVL_NS,0.009,0.009
95,304Nvl_L3_NS,NONE,0.007,0.0
95,32Nvl_L3_NS,NONE,0.008,0.0
95,32Nvl_L2_NS,32NVL_NS,0.008,0.003
95,32Mt_L1_NS,32MT_NS,0.006,0.001
95,NvcMt_L1_NS,NVCMT_NS,0.007,0.002
95,304Nvl_L2_NS,304NVL_NS,0.008,0.002
95,32Nvl_L1_NS,32NVL_NS,0.007,0.0
95,32Mt_L2_NS,32MT_NS,0.006,0.003
95,NvcMt_L2_NS,NVCMT_NS,0.005,0.001
100,304Nvl_L1_NS,304NVL_NS,0.009,0.009
100,304Nvl_L3_NS,NONE,0.007,0.0
100,32Nvl_L3_NS,NONE,0.008,0.0
100,32Nvl_L2_NS,32NVL_NS,0.008,0.003
100,NvcNvl_L3_NS,NONE,0.007,0.0
100,NvcNvl_L2_NS,NONE,0.007,0.0
100,32Mt_L1_NS,32MT_NS,0.006,0.001
100,NvcMt_L1_NS,NVCMT_NS,0.007,0.002
100,304Nvl_L2_NS,304NVL_NS,0.008,0.002
100,32Nvl_L1_NS,32NVL_NS,0.007,0.0
100,NvcNvl_L1_NS,NONE,0.009,0.0
100,32Mt_L2_NS,32MT_NS,0.006,0.003
100,NvcMt_L2_NS,NVCMT_NS,0.005,0.001
105,304Nvl_L1_NS,304NVL_NS,0.018,0.018
105,304Nvl_L3_NS,NONE,0.015,0.0
105,32Nvl_L3_NS,NONE,0.008,0.0
105,32Nvl_L2_NS,32NVL_NS,0.008,-0.003
105,32Mt_L1_NS,32MT_NS,0.006,0.001
105,NvcMt_L1_NS,NVCMT_NS,0.007,0.002
105,304Nvl_L2_NS,304NVL_NS,0.015,0.01
105,32Nvl_L1_NS,32NVL_NS,0.007,-0.006
105,32Mt_L2_NS,32MT_NS,0.006,0.003
105,NvcMt_L2_NS,NVCMT_NS,0.005,0.001
110,304Nvl_L1_NS,304NVL_NS,0.027,0.027
110,304Nvl_L3_NS,NONE,0.022,0.0
110,32Nvl_L3_NS,NONE,0.008,0.0
110,32Nvl_L2_NS,32NVL_NS,0.008,-0.008
110,NvcNvl_L1_EW,NVCNVL_EW,0.014,0.014
110,NvcNvl_L2_EW,NVCNVL_EW,0.016,0.016
110,NvcNvl_L1_NS,NVCNVL_NS,0.007,0.007
110,32Mt_L1_EW,32MT_EW,0.007,0.007
110,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
110,304Nvl_L2_NS,304NVL_NS,0.023,0.017
110,32Nvl_L1_NS,32NVL_NS,0.007,-0.017
110,NvcNvl_L3_EW,NONE,0.019,0.0
110,32Mt_L2_EW,32MT_EW,0.005,0.005
110,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
115,304Nvl_L1_NS,304NVL_NS,0.018,0.018
115,304Nvl_L3_NS,NONE,0.015,0.0
115,NvcNvl_L3_NS,NONE,0.007,0.0
115,NvcNvl_L2_NS,NONE,0.007,0.0
115,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
115,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
115,NvcNvl_L1_NS,NVCNVL_NS,0.007,0.007
115,32Mt_L1_EW,NONE,0.007,0.0
115,32Mt_L1_EW,32MT_EW,0.007,0.007
115,304Nvl_L2_NS,304NVL_NS,0.015,0.015
115,NvcNvl_L1_NS,NONE,0.009,0.0
115,NvcNvl_L3_EW,NONE,0.009,0.0
115,32Mt_L2_EW,32MT_EW,0.005,0.005
120,304Nvl_L1_NS,304NVL_NS,0.009,0.009
120,32Nvl_L3_NS,NONE,0.008,0.0
120,32Nvl_L2_NS,32NVL_NS,0.008,0.003
120,NvcNvl_L1_EW,NONE,0.011,0.0
120,NvcNvl_L2_EW,NONE,0.008,0.0
120,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
120,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
120,32Mt_L1_EW,32MT_EW,0.014,0.014
120,32Mt_L1_NS,NONE,0.01,0.0
120,304Nvl_L2_NS,304NVL_NS,0.008,0.002
120,32Nvl_L1_NS,32NVL_NS,0.007,0.0
120,NvcNvl_L3_EW,NONE,0.009,0.0
120,32Mt_L2_EW,32MT_EW,0.011,0.011
120,32Mt_L2_NS,NONE,0.009,0.0
125,304Nvl_L1_EW,304NVL_EW,0.008,0.008
125,304Nvl_L1_NS,NONE,0.007,0.0
125,NvcNvl_L1_EW,NONE,0.011,0.0
125,NvcNvl_L2_EW,NONE,0.008,0.0
125,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
125,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
125,32Mt_L1_NS,32MT_NS,0.006,0.006
125,32Mt_L1_EW,32MT_EW,0.014,0.014
125,NvcNvl_L3_EW,NONE,0.009,0.0
125,32Mt_L2_EW,32MT_EW,0.011,0.011
130,304Nvl_L1_EW,304NVL_EW,0.008,0.008
130,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
130,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
130,32Mt_L1_EW,32MT_EW,0.014,0.014
130,32Nvl_L1_NS,32NVL_NS,0.007,0.007
130,NvcNvl_L3_EW,NONE,0.009,0.0
130,32Mt_L2_EW,32MT_EW,0.011,0.011
135,304Nvl_L1_EW,304NVL_EW,0.017,0.017
135,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
135,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
135,32Mt_L1_NS,32MT_NS,0.006,0.006
135,32Mt_L1_EW,32MT_EW,0.014,0.014
135,NvcNvl_L3_EW,NONE,0.009,0.0
135,32Mt_L2_NS,32MT_NS,0.006,0.006
135,32Mt_L2_EW,32MT_EW,0.011,0.011
140,304Nvl_L1_EW,304NVL_EW,0.008,0.008
140,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
140,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
140,32Mt_L1_EW,32MT_EW,0.021,0.021
140,NvcCmt8_L2_NS,NONE,0.129,0.0
140,NvcCmt8_L1_NS,NONE,0.093,0.0
140,NvcNvl_L3_EW,NONE,0.009,0.0
140,32Mt_L2_EW,32MT_EW,0.011,0.011
145,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
145,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
145,32Mt_L1_EW,32MT_EW,0.021,0.021
145,NvcCmt8_L2_NS,NONE,0.129,0.0
145,NvcCmt8_L1_NS,NONE,0.093,0.0
145,NvcNvl_L3_EW,NONE,0.009,0.0
145,32Mt_L2_EW,32MT_EW,0.011,0.011
