Time_Seconds,Lane_ID,Phase_ID,Density_Phi,Pressure_W
20,32Nvl_L3_NS,NONE,0.008,0.0
20,32Nvl_L2_NS,32NVL_NS,0.008,0.008
20,32Nvl_L1_NS,32NVL_NS,0.007,0.007
25,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
25,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
30,32Mt_L1_NS,NONE,0.01,0.0
30,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
30,32Nvl_L1_NS,32NVL_NS,0.007,0.007
30,32Mt_L2_NS,NONE,0.009,0.0
30,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
35,32Mt_L1_NS,32MT_NS,0.006,0.006
35,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
35,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
40,NvcNvl_L3_NS,NONE,0.007,0.0
40,NvcNvl_L2_NS,NONE,0.007,0.0
40,NvcNvl_L1_EW,NVCNVL_EW,0.007,-0.002
40,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
40,32Mt_L1_NS,NONE,0.049,0.0
40,NvcMt_L1_EW,NVCMT_EW,0.013,0.008
40,NvcNvl_L1_NS,NONE,0.009,0.0
40,NvcNvl_L3_EW,NONE,0.009,0.0
40,32Mt_L2_NS,NONE,0.043,0.0
40,NvcMt_L2_EW,NVCMT_EW,0.016,0.01
45,304Nvl_L1_NS,304NVL_NS,0.009,0.009
45,304Nvl_L3_NS,NONE,0.007,0.0
45,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.003
45,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
45,32Mt_L1_NS,NONE,0.01,0.0
45,NvcMt_L1_EW,NVCMT_EW,0.006,0.001
45,304Nvl_L2_NS,304NVL_NS,0.008,0.008
45,NvcNvl_L3_EW,NONE,0.009,0.0
45,32Mt_L2_NS,NONE,0.009,0.0
45,NvcMt_L2_EW,NVCMT_EW,0.008,0.002
50,32Nvl_L3_NS,NONE,0.008,0.0
50,32Nvl_L2_NS,32NVL_NS,0.008,0.008
50,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.003
50,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
50,32Mt_L1_EW,32MT_EW,0.035,0.035
50,NvcMt_L1_EW,NVCMT_EW,0.006,0.001
50,32Nvl_L1_NS,32NVL_NS,0.007,0.007
50,NvcNvl_L3_EW,NONE,0.009,0.0
50,NvcMt_L2_EW,NVCMT_EW,0.008,0.002
55,304Nvl_L1_NS,NONE,0.007,0.0
55,32Nvl_L3_NS,NONE,0.008,0.0
55,32Nvl_L2_NS,32NVL_NS,0.016,0.016
55,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.003
55,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
55,32Mt_L1_EW,32MT_EW,0.035,0.035
55,32Mt_L1_NS,NONE,0.01,0.0
55,NvcMt_L1_EW,NVCMT_EW,0.006,0.001
55,32Nvl_L1_NS,32NVL_NS,0.013,0.013
55,NvcNvl_L3_EW,NONE,0.009,0.0
55,32Mt_L2_EW,32MT_EW,0.027,0.027
55,32Mt_L2_NS,NONE,0.009,0.0
55,NvcMt_L2_EW,NVCMT_EW,0.008,0.002
60,32Nvl_L1_NS,32NVL_NS,0.007,0.007
60,32Nvl_L3_NS,NONE,0.008,0.0
60,32Nvl_L2_NS,32NVL_NS,0.008,0.008
60,32Mt_L1_NS,32MT_NS,0.013,0.013
60,32Mt_L1_EW,NONE,0.007,0.0
60,32Mt_L1_EW,32MT_EW,0.042,0.042
60,NvcMt_L2_NS,NONE,0.005,0.0
60,NvcMt_L1_EW,NVCMT_EW,0.013,0.013
60,32Nvl_L1_NS,32NVL_NS,0.007,0.007
60,32Mt_L2_NS,32MT_NS,0.013,0.013
60,32Mt_L2_EW,32MT_EW,0.027,0.027
60,NvcMt_L1_NS,NONE,0.005,0.0
60,NvcMt_L2_EW,NVCMT_EW,0.016,0.016
65,304Nvl_L1_NS,304NVL_NS,0.018,0.013
65,304Nvl_L3_NS,NONE,0.015,0.0
65,32Nvl_L1_NS,32NVL_NS,0.007,-0.006
65,32Nvl_L1_EW,32NVL_EW,0.007,0.002
65,32Nvl_L2_EW,32NVL_EW,0.008,0.004
65,32Nvl_L3_NS,NONE,0.008,0.0
65,32Nvl_L2_NS,32NVL_NS,0.008,-0.003
65,NvcNvl_L2_NS,NONE,0.007,0.0
65,32Mt_L1_NS,32MT_NS,0.013,0.013
65,32Mt_L1_EW,32MT_EW,0.007,0.002
65,304Nvl_L2_NS,304NVL_NS,0.015,0.01
65,32Nvl_L3_EW,NONE,0.006,0.0
65,32Nvl_L1_NS,32NVL_NS,0.013,0.001
65,NvcNvl_L1_NS,NONE,0.009,0.0
65,32Mt_L2_NS,32MT_NS,0.013,0.013
65,32Mt_L2_EW,32MT_EW,0.005,0.0
70,304Nvl_L1_NS,304NVL_NS,0.018,0.018
70,304Nvl_L3_NS,NONE,0.015,0.0
70,304Nvl_L1_EW,304NVL_EW,0.008,0.008
70,304Nvl_L2_EW,304NVL_EW,0.007,0.007
70,32Nvl_L3_NS,NONE,0.008,0.0
70,32Nvl_L2_NS,32NVL_NS,0.008,-0.003
70,32Mt_L1_NS,32MT_NS,0.013,0.013
70,32Mt_L1_EW,32MT_EW,0.007,0.007
70,304Nvl_L2_NS,304NVL_NS,0.015,0.01
70,304Nvl_L3_EW,NONE,0.006,0.0
70,32Nvl_L1_NS,32NVL_NS,0.013,0.001
70,32Mt_L2_NS,32MT_NS,0.013,0.013
75,304Nvl_L1_NS,304NVL_NS,0.018,0.013
75,304Nvl_L3_NS,NONE,0.015,0.0
75,32Nvl_L1_NS,32NVL_NS,0.007,-0.006
