Time_Seconds,Lane_ID,Phase_ID,Density_Phi,Pressure_W
20,32Nvl_L3_NS,NONE,0.008,0.0
20,32Nvl_L2_NS,32NVL_NS,0.008,0.008
20,32Nvl_L1_NS,32NVL_NS,0.007,0.007
25,32Mt_L1_NS,32MT_NS,0.006,0.006
25,32Mt_L2_NS,32MT_NS,0.006,0.006
35,304Nvl_L1_NS,304NVL_NS,0.009,0.009
35,304Nvl_L3_NS,NONE,0.007,0.0
35,32Mt_L1_EW,NONE,0.007,0.0
35,304Nvl_L2_NS,304NVL_NS,0.008,0.008
40,304Nvl_L1_EW,304NVL_EW,0.008,0.008
40,304Nvl_L2_EW,304NVL_EW,0.007,0.007
40,NvcNvl_L3_NS,NONE,0.007,0.0
40,NvcNvl_L2_NS,NONE,0.007,0.0
40,304Nvl_L3_EW,NONE,0.006,0.0
40,NvcNvl_L1_NS,NONE,0.009,0.0
45,304Nvl_L1_EW,304NVL_EW,0.008,0.008
45,304Nvl_L2_EW,304NVL_EW,0.007,0.007
45,304Nvl_L1_EW,NONE,0.008,0.0
45,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.003
45,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
45,NvcMt_L1_EW,NVCMT_EW,0.006,0.001
45,304Nvl_L3_EW,NONE,0.006,0.0
45,NvcNvl_L3_EW,NONE,0.009,0.0
45,NvcMt_L2_EW,NVCMT_EW,0.008,0.002
50,304Nvl_L1_EW,304NVL_EW,0.008,0.008
50,304Nvl_L2_EW,304NVL_EW,0.007,0.007
50,32Nvl_L3_NS,NONE,0.008,0.0
50,32Nvl_L2_NS,32NVL_NS,0.008,0.008
50,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.003
50,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
50,NvcMt_L1_EW,NVCMT_EW,0.006,0.001
50,304Nvl_L3_EW,NONE,0.006,0.0
50,32Nvl_L1_NS,32NVL_NS,0.007,0.007
50,NvcNvl_L3_EW,NONE,0.009,0.0
50,NvcMt_L2_EW,NVCMT_EW,0.008,0.002
55,304Nvl_L1_EW,304NVL_EW,0.008,0.008
55,304Nvl_L2_EW,304NVL_EW,0.007,0.007
55,32Nvl_L3_NS,NONE,0.017,0.0
55,32Nvl_L2_NS,32NVL_NS,0.016,0.016
55,NvcNvl_L3_NS,NONE,0.007,0.0
55,NvcNvl_L2_NS,NONE,0.007,0.0
55,NvcNvl_L1_EW,NVCNVL_EW,0.007,-0.02
55,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
55,32Mt_L1_NS,32MT_NS,0.075,0.075
55,NvcMt_L1_EW,NVCMT_EW,0.038,0.033
55,304Nvl_L3_EW,NONE,0.006,0.0
55,32Nvl_L1_NS,32NVL_NS,0.013,0.013
55,NvcNvl_L1_NS,NONE,0.009,0.0
55,NvcNvl_L3_EW,NONE,0.009,0.0
55,32Mt_L2_NS,32MT_NS,0.078,0.078
55,NvcMt_L2_EW,NVCMT_EW,0.048,0.042
60,32Nvl_L3_NS,NONE,0.017,0.0
60,32Nvl_L2_NS,32NVL_NS,0.016,0.016
60,NvcNvl_L3_NS,NONE,0.041,0.0
60,NvcNvl_L2_NS,NONE,0.04,0.0
60,NvcNvl_L1_EW,NVCNVL_EW,0.007,-0.015
60,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
60,32Mt_L1_NS,32MT_NS,0.075,0.075
60,32Mt_L1_NS,NONE,0.01,0.0
60,NvcMt_L1_EW,NVCMT_EW,0.032,0.027
60,32Nvl_L1_NS,32NVL_NS,0.013,0.013
60,NvcNvl_L1_NS,NONE,0.052,0.0
60,NvcNvl_L3_EW,NONE,0.009,0.0
60,32Mt_L2_NS,32MT_NS,0.078,0.078
60,32Mt_L2_NS,NONE,0.009,0.0
60,NvcMt_L2_EW,NVCMT_EW,0.04,0.034
65,304Nvl_L1_NS,NONE,0.007,0.0
65,32Nvl_L1_NS,32NVL_NS,0.007,0.007
65,32Nvl_L3_NS,NONE,0.017,0.0
65,32Nvl_L2_NS,32NVL_NS,0.016,0.016
65,NvcNvl_L3_NS,NONE,0.007,0.0
65,NvcNvl_L2_NS,NONE,0.007,0.0
65,NvcNvl_L1_EW,NONE,0.011,0.0
65,NvcNvl_L2_EW,NONE,0.008,0.0
65,32Mt_L1_NS,32MT_NS,0.082,0.082
65,32Mt_L1_EW,NONE,0.007,0.0
65,NvcMt_L2_NS,NONE,0.005,0.0
65,NvcCmt8_L2_NS,NONE,0.022,0.0
65,NvcCmt8_L1_NS,NONE,0.015,0.0
65,32Nvl_L1_NS,32NVL_NS,0.013,0.013
65,NvcNvl_L1_NS,NONE,0.009,0.0
65,32Mt_L2_NS,32MT_NS,0.084,0.084
65,NvcMt_L1_NS,NONE,0.005,0.0
70,304Nvl_L1_NS,NONE,0.007,0.0
70,32Nvl_L1_NS,32NVL_NS,0.007,0.007
70,32Nvl_L3_NS,NONE,0.058,0.0
70,32Nvl_L2_NS,32NVL_NS,0.055,0.055
70,32Mt_L1_NS,32MT_NS,0.082,0.082
70,32Nvl_L1_NS,32NVL_NS,0.047,0.047
70,32Mt_L2_NS,32MT_NS,0.084,0.084
75,304Nvl_L1_NS,304NVL_NS,0.009,0.009
75,304Nvl_L3_NS,NONE,0.007,0.0
75,32Nvl_L3_NS,NONE,0.058,0.0
75,32Nvl_L2_NS,32NVL_NS,0.055,0.05
75,NvcNvl_L3_NS,NONE,0.007,0.0
75,NvcNvl_L2_NS,NONE,0.007,0.0
75,32Mt_L1_NS,32MT_NS,0.006,0.006
75,NvcMt_L1_EW,NVCMT_EW,0.032,0.032
75,NvcCmt8_L2_NS,NONE,0.129,0.0
75,NvcCmt8_L1_NS,NONE,0.093,0.0
