Time_Seconds,Lane_ID,Phase_ID,Density_Phi,Pressure_W
20,NvcCmt8_L2_NS,NONE,0.011,0.0
20,NvcCmt8_L1_NS,NONE,0.008,0.0
25,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
25,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
30,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
30,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
35,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
35,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
40,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
40,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
50,32Mt_L1_NS,32MT_NS,0.006,0.006
50,32Mt_L2_NS,32MT_NS,0.006,0.006
55,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
55,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
55,NvcNvl_L3_EW,NONE,0.009,0.0
60,304Nvl_L1_EW,304NVL_EW,0.008,0.008
60,304Nvl_L2_EW,304NVL_EW,0.007,0.007
60,32Mt_L1_EW,NONE,0.007,0.0
60,304Nvl_L3_EW,NONE,0.006,0.0
65,NvcNvl_L3_NS,NONE,0.007,0.0
65,NvcNvl_L2_NS,NONE,0.007,0.0
65,NvcNvl_L1_NS,NONE,0.009,0.0
70,304Nvl_L1_NS,304NVL_NS,0.109,0.109
70,304Nvl_L3_NS,NONE,0.089,0.0
70,304Nvl_L1_NS,NONE,0.007,0.0
70,NvcNvl_L3_NS,NONE,0.007,0.0
70,NvcNvl_L2_NS,NONE,0.007,0.0
70,304Nvl_L2_NS,304NVL_NS,0.091,0.091
70,NvcNvl_L1_NS,NONE,0.009,0.0
75,304Nvl_L1_NS,304NVL_NS,0.109,0.109
75,304Nvl_L3_NS,NONE,0.089,0.0
75,32Mt_L1_NS,32MT_NS,0.031,0.031
75,304Nvl_L2_NS,304NVL_NS,0.091,0.091
