Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
NVCMT,1,112,0.23,8,0.38
304THN,1,112,1.43,0,0.0
NVCNVL,1,112,1.18,8,3.19
32NVL,1,112,8.38,3,0.0
32MT,1,112,0.0,5,0.0
304NVL,1,112,0.0,3,0.0
NVCCMT8,1,112,0.34,9,0.0
32THN,1,112,0.0,0,0.0
NVCMT,2,224,2.77,22,0.32
304THN,2,224,0.33,1,45.5
NVCNVL,2,224,4.11,25,2.94
32MT,2,224,2.45,21,2.26
304NVL,2,224,3.24,25,1.52
NVCCMT8,2,224,0.68,11,0.18
32THN,2,224,0.21,0,0.0
32NVL,2,224,4.92,26,11.44
NVCMT,3,336,2.3,22,1.93
304THN,3,336,0.62,0,0.0
NVCNVL,3,336,0.27,37,0.05
32MT,3,336,5.17,44,3.6
304NVL,3,336,2.69,43,1.21
NVCCMT8,3,336,0.5,12,0.25
32THN,3,336,0.38,0,0.0
32NVL,3,336,8.25,42,4.69
NVCMT,4,448,4.02,26,0.69
304THN,4,448,0.28,0,0.0
NVCNVL,4,448,0.0,45,0.02
304NVL,4,448,2.33,68,1.2
NVCCMT8,4,448,0.23,11,0.14
32THN,4,448,0.0,0,0.0
32NVL,4,448,9.8,52,3.88
32MT,4,448,1.52,47,0.44
NVCMT,5,560,2.63,31,1.82
304THN,5,560,0.0,0,0.0
NVCNVL,5,560,0.43,56,0.11
304NVL,5,560,3.04,77,0.81
NVCCMT8,5,560,0.71,13,0.12
32THN,5,560,0.16,0,0.0
32NVL,5,560,12.73,44,6.33
32MT,5,561,4.77,53,2.41
NVCMT,6,672,2.32,26,0.58
304THN,6,672,0.0,0,0.0
NVCNVL,6,672,4.64,63,1.59
304NVL,6,672,6.42,76,0.97
NVCCMT8,6,672,0.61,8,0.25
32THN,6,672,1.04,0,0.0
32NVL,6,672,16.57,64,5.06
32MT,6,673,4.95,62,2.45
NVCMT,7,784,3.13,33,0.42
304THN,7,784,0.38,0,0.0
NVCNVL,7,784,1.13,62,0.22
304NVL,7,784,11.08,81,2.27
NVCCMT8,7,784,0.57,5,0.2
32THN,7,784,1.63,1,41.0
