Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
NVCMT,1,112,1.88,3,1.33
304THN,1,112,0.0,0,0.0
NVCNVL,1,112,0.0,1,0.0
32NVL,1,112,0.71,2,0.0
32MT,1,112,0.0,2,0.0
304NVL,1,112,0.0,5,0.0
NVCCMT8,1,112,0.0,3,0.0
32THN,1,112,0.0,0,0.0
NVCMT,2,224,0.7,13,2.54
304THN,2,224,0.0,0,0.0
NVCNVL,2,224,3.05,8,8.13
32NVL,2,224,5.25,10,1.95
32MT,2,224,0.96,15,1.13
304NVL,2,224,0.62,7,0.0
NVCCMT8,2,224,0.0,4,0.0
32THN,2,224,0.31,0,0.0
NVCMT,3,336,0.86,9,0.17
304THN,3,336,0.0,0,0.0
NVCNVL,3,336,0.0,17,0.0
32NVL,3,336,8.23,21,13.88
32MT,3,336,1.89,15,2.67
304NVL,3,336,1.13,10,4.25
NVCCMT8,3,336,0.0,1,0.0
32THN,3,336,0.0,0,0.0
NVCMT,4,448,0.95,10,0.15
304THN,4,448,0.0,0,0.0
NVCNVL,4,448,2.86,29,1.86
32NVL,4,448,7.48,22,7.8
32MT,4,448,1.89,17,2.68
304NVL,4,448,2.02,19,2.63
NVCCMT8,4,448,0.0,5,0.0
32THN,4,448,0.0,0,0.0
NVCMT,5,560,2.04,13,1.15
304THN,5,560,0.0,0,0.0
NVCNVL,5,560,0.93,30,0.0
32NVL,5,560,11.43,26,10.48
32MT,5,560,4.07,16,7.75
304NVL,5,560,2.01,35,0.9
NVCCMT8,5,560,0.0,6,0.0
32THN,5,560,0.19,0,0.0
NVCMT,6,672,0.41,17,0.15
304THN,6,672,0.0,0,0.0
NVCNVL,6,672,0.7,22,0.57
32NVL,6,672,6.96,24,5.13
304NVL,6,672,1.93,23,0.02
NVCCMT8,6,672,0.86,6,0.42
32THN,6,672,0.54,0,0.0
32MT,6,672,1.76,28,1.52
NVCMT,7,784,1.57,9,0.83
304THN,7,784,0.0,0,0.0
NVCNVL,7,784,1.61,21,1.14
304NVL,7,784,1.88,27,1.83
NVCCMT8,7,784,0.25,4,0.13
32THN,7,784,0.53,1,16.0
32NVL,7,784,13.88,20,7.35
32MT,7,784,1.29,22,0.86
NVCMT,8,896,1.25,11,0.23
304THN,8,896,0.0,0,0.0
NVCNVL,8,896,4.52,22,4.32
304NVL,8,896,3.12,28,1.2
NVCCMT8,8,896,0.25,2,0.0
32THN,8,896,0.0,0,0.0
32NVL,8,896,13.23,30,14.78
32MT,8,896,7.26,37,5.85
NVCMT,9,1008,0.64,15,0.13
304THN,9,1008,0.0,0,0.0
NVCNVL,9,1008,0.0,31,0.1
NVCCMT8,9,1008,0.0,5,0.0
32THN,9,1008,0.56,0,0.0
32NVL,9,1008,15.63,20,5.4
304NVL,9,1008,1.52,17,6.91
32MT,9,1009,0.0,19,0.24
NVCMT,10,1120,2.84,14,0.75
304THN,10,1120,0.0,0,0.0
NVCNVL,10,1120,2.04,23,1.67
NVCCMT8,10,1120,0.61,11,0.18
32THN,10,1120,0.6,0,0.0
32NVL,10,1120,12.48,28,18.18
304NVL,10,1120,6.38,29,4.59
32MT,10,1121,4.19,23,5.11
NVCMT,11,1232,1.57,10,0.55
304THN,11,1232,0.0,0,0.0
NVCNVL,11,1232,0.0,23,0.04
NVCCMT8,11,1232,0.0,5,0.0
32THN,11,1232,0.17,0,0.0
32NVL,11,1232,13.55,24,14.63
304NVL,11,1232,4.92,17,1.26
32MT,11,1233,0.0,17,0.09
NVCMT,12,1344,2.77,16,0.5
304THN,12,1344,0.0,0,0.0
NVCNVL,12,1344,0.88,23,0.7
NVCCMT8,12,1344,0.0,3,0.0
32THN,12,1344,1.04,0,0.0
32NVL,12,1345,54.61,10,4.75
304NVL,12,1345,5.31,34,7.97
32MT,12,1345,0.7,32,0.56
NVCMT,13,1456,2.14,10,2.85
304THN,13,1456,0.0,0,0.0
NVCNVL,13,1456,5.16,27,4.33
NVCCMT8,13,1456,0.55,5,1.0
32THN,13,1456,0.38,1,43.5
32NVL,13,1457,11.71,31,51.48
304NVL,13,1457,8.13,43,0.23
32MT,13,1458,2.19,24,1.81
NVCMT,14,1568,0.45,11,2.55
304THN,14,1568,0.24,0,0.0
NVCNVL,14,1568,0.45,23,0.02
NVCCMT8,14,1568,0.0,7,0.0
32THN,14,1568,0.0,0,0.0
32NVL,14,1569,5.39,22,5.68
304NVL,14,1569,1.71,37,6.81
32MT,14,1570,1.48,19,1.11
NVCMT,15,1680,0.95,11,0.36
304THN,15,1680,0.0,0,0.0
NVCNVL,15,1680,1.88,24,0.98
NVCCMT8,15,1680,1.16,7,1.21
32THN,15,1680,0.15,1,0.0
32NVL,15,1681,23.8,17,0.18
304NVL,15,1681,1.39,43,0.02
32MT,15,1682,4.26,25,4.6
NVCMT,16,1792,2.59,13,0.54
304THN,16,1792,0.0,0,0.0
NVCNVL,16,1792,2.45,20,2.58
NVCCMT8,16,1792,0.34,5,0.2
32THN,16,1792,0.23,0,0.0
32NVL,16,1793,5.59,31,17.73
304NVL,16,1793,4.5,35,1.34
32MT,16,1795,1.04,21,0.74
NVCMT,17,1904,0.07,9,0.0
304THN,17,1904,0.0,0,0.0
NVCNVL,17,1904,2.21,30,1.58
NVCCMT8,17,1904,0.0,7,0.0
32THN,17,1904,0.11,0,0.0
32NVL,17,1905,15.86,25,2.52
304NVL,17,1906,5.37,36,5.28
32MT,17,1907,0.69,26,0.71
NVCMT,18,2016,0.25,8,0.06
304THN,18,2016,0.23,0,0.0
NVCNVL,18,2016,4.61,22,4.23
NVCCMT8,18,2016,0.36,2,0.5
32THN,18,2016,0.08,0,0.0
32NVL,18,2018,13.26,29,17.81
304NVL,18,2018,0.94,26,2.19
32MT,18,2019,1.25,25,1.32
NVCMT,19,2128,1.32,14,0.5
304THN,19,2128,0.23,0,0.0
NVCNVL,19,2128,0.0,24,0.0
NVCCMT8,19,2128,0.0,2,0.0
32THN,19,2128,0.18,0,0.0
32NVL,19,2130,9.54,28,8.39
304NVL,19,2130,1.19,41,0.01
32MT,19,2132,6.17,30,5.75
NVCMT,20,2240,2.07,9,0.33
304THN,20,2240,0.0,0,0.0
NVCNVL,20,2240,0.0,24,0.02
NVCCMT8,20,2240,0.0,4,0.0
32THN,20,2240,0.0,0,0.0
32NVL,20,2242,5.43,20,4.75
304NVL,20,2242,3.05,20,0.57
32MT,20,2244,0.61,32,0.38
NVCMT,21,2352,2.2,14,1.86
304THN,21,2352,0.0,0,0.0
NVCNVL,21,2352,5.77,35,3.67
NVCCMT8,21,2352,0.36,6,0.08
32THN,21,2352,0.18,0,0.0
32NVL,21,2354,7.02,26,5.79
304NVL,21,2354,5.24,34,2.44
32MT,21,2357,2.95,22,3.45
NVCMT,22,2464,2.96,14,1.93
304THN,22,2464,0.0,0,0.0
NVCNVL,22,2464,0.75,26,0.38
NVCCMT8,22,2464,0.0,3,0.0
32THN,22,2464,0.22,0,0.0
32NVL,22,2466,19.14,19,5.97
304NVL,22,2467,4.31,36,6.88
32MT,22,2469,0.23,19,0.0
NVCMT,23,2576,2.84,16,3.13
304THN,23,2576,0.19,0,0.0
NVCNVL,23,2576,1.7,23,1.48
NVCCMT8,23,2576,0.0,3,0.0
32THN,23,2576,0.0,0,0.0
32NVL,23,2578,10.8,36,13.88
304NVL,23,2579,0.94,24,1.06
32MT,23,2582,0.85,29,0.72
NVCMT,24,2688,2.73,12,2.58
304THN,24,2688,0.0,0,0.0
NVCNVL,24,2688,1.93,25,1.84
NVCCMT8,24,2688,0.36,2,1.75
32THN,24,2688,0.14,0,0.0
32NVL,24,2690,12.57,17,5.79
304NVL,24,2691,2.25,42,0.69
32MT,24,2694,3.2,31,2.69
NVCMT,25,2800,1.14,7,6.86
304THN,25,2800,0.0,0,0.0
NVCNVL,25,2800,0.61,28,0.18
NVCCMT8,25,2800,0.32,4,0.25
32THN,25,2800,1.08,0,0.0
32NVL,25,2802,12.52,26,17.69
304NVL,25,2803,7.15,26,2.02
32MT,25,2806,1.37,18,2.08
NVCMT,26,2912,1.5,12,0.42
304THN,26,2912,0.0,0,0.0
NVCNVL,26,2912,0.0,23,0.02
NVCCMT8,26,2912,0.0,1,0.0
32THN,26,2912,0.01,1,43.5
32NVL,26,2914,35.71,18,0.86
304NVL,26,2915,7.84,34,9.76
32MT,26,2918,4.62,24,5.71
NVCMT,27,3024,1.07,16,0.47
304THN,27,3024,0.23,0,0.0
NVCNVL,27,3024,3.41,29,1.88
NVCCMT8,27,3024,0.0,3,0.0
32THN,27,3024,0.0,0,0.0
32NVL,27,3026,9.23,31,32.26
304NVL,27,3027,4.82,30,1.32
32MT,27,3031,0.0,25,0.04
NVCMT,28,3136,1.64,11,0.0
304THN,28,3136,0.0,0,0.0
NVCNVL,28,3136,0.0,27,0.04
NVCCMT8,28,3136,0.09,3,0.0
32THN,28,3136,0.0,0,0.0
32NVL,28,3139,9.85,26,3.19
304NVL,28,3140,3.87,45,3.79
32MT,28,3143,2.61,20,3.18
NVCMT,29,3248,1.52,12,3.71
304THN,29,3248,0.31,0,0.0
NVCNVL,29,3248,0.45,34,0.03
NVCCMT8,29,3248,0.0,2,0.0
32THN,29,3248,0.33,0,0.0
32NVL,29,3251,5.23,21,9.1
304NVL,29,3252,4.38,38,2.36
32MT,29,3255,1.86,23,2.26
NVCMT,30,3360,0.75,13,0.38
304THN,30,3360,0.0,0,0.0
NVCNVL,30,3360,4.91,45,2.71
NVCCMT8,30,3360,0.96,7,0.93
32THN,30,3360,0.36,0,0.0
32NVL,30,3363,42.04,15,2.0
304NVL,30,3364,7.84,29,10.6
32MT,30,3367,2.6,25,2.86
NVCMT,31,3472,0.88,6,0.5
304THN,31,3472,0.0,0,0.0
NVCNVL,31,3472,0.0,20,0.0
NVCCMT8,31,3472,0.38,4,0.5
32THN,31,3472,0.15,0,0.0
32NVL,31,3475,11.68,37,33.92
304NVL,31,3476,1.38,38,0.33
32MT,31,3479,1.0,18,0.36
NVCMT,32,3584,0.5,9,0.28
304THN,32,3584,0.0,0,0.0
NVCNVL,32,3584,0.8,29,0.41
NVCCMT8,32,3584,0.39,6,0.25
32THN,32,3584,0.0,0,0.0
32NVL,32,3587,20.44,25,2.66
304NVL,32,3588,3.35,46,0.75
32MT,32,3591,3.12,28,3.34
NVCMT,33,3696,2.36,11,1.18
304THN,33,3696,0.23,0,0.0
NVCNVL,33,3696,0.0,26,0.08
NVCCMT8,33,3696,0.39,5,0.4
32THN,33,3696,0.0,0,0.0
32NVL,33,3700,17.26,30,22.45
304NVL,33,3701,5.08,28,2.66
32MT,33,3703,2.24,20,2.7
NVCMT,34,3808,0.88,12,0.29
304THN,34,3808,0.0,0,0.0
NVCNVL,34,3808,1.84,18,2.44
NVCCMT8,34,3808,0.0,5,0.0
32THN,34,3808,0.0,0,0.0
32NVL,34,3812,5.09,33,5.14
304NVL,34,3813,2.6,31,4.63
32MT,34,3816,1.76,21,2.81
NVCMT,35,3920,0.07,10,0.0
304THN,35,3920,0.0,0,0.0
NVCNVL,35,3920,2.75,25,2.14
NVCCMT8,35,3920,0.21,2,0.0
32THN,35,3920,0.17,0,0.0
32NVL,35,3924,10.84,21,10.74
304NVL,35,3925,0.9,36,1.96
32MT,35,3928,2.15,29,2.9
NVCMT,36,4032,0.86,16,0.38
304THN,36,4032,0.0,0,0.0
NVCNVL,36,4032,2.55,23,2.22
NVCCMT8,36,4032,0.0,3,0.0
32THN,36,4032,0.0,0,0.0
32NVL,36,4036,10.66,24,10.75
304NVL,36,4037,1.23,33,0.14
32MT,36,4041,0.4,21,0.07
NVCMT,37,4144,1.38,15,0.43
304THN,37,4144,0.0,0,0.0
NVCNVL,37,4144,0.0,26,0.02
NVCCMT8,37,4144,0.0,5,0.0
32THN,37,4144,0.0,0,0.0
32NVL,37,4148,8.95,16,13.31
304NVL,37,4149,0.8,26,0.02
32MT,37,4153,0.69,26,0.27
NVCMT,38,4256,2.46,14,0.86
304THN,38,4256,0.0,0,0.0
NVCNVL,38,4256,1.23,37,0.45
NVCCMT8,38,4256,0.0,2,0.0
32THN,38,4256,0.19,0,0.0
32NVL,38,4260,8.7,31,5.53
304NVL,38,4261,0.44,33,0.33
32MT,38,4266,12.91,21,20.31
NVCMT,39,4368,1.66,11,0.86
304THN,39,4368,0.21,0,0.0
NVCNVL,39,4368,0.0,28,0.02
NVCCMT8,39,4368,0.09,6,0.0
32THN,39,4368,0.17,0,0.0
32NVL,39,4372,7.29,22,6.82
304NVL,39,4373,1.62,30,0.4
32MT,39,4378,1.31,28,1.36
NVCMT,40,4480,0.66,12,0.21
304THN,40,4480,0.0,0,0.0
NVCNVL,40,4480,4.09,29,2.64
NVCCMT8,40,4480,0.41,5,0.6
32THN,40,4480,0.21,0,0.0
32NVL,40,4484,8.73,27,3.15
304NVL,40,4485,0.17,33,0.03
32MT,40,4490,13.82,19,13.18
NVCMT,41,4592,3.73,12,0.88
304THN,41,4592,0.24,0,0.0
NVCNVL,41,4592,0.23,22,0.0
NVCCMT8,41,4592,0.0,0,0.0
32THN,41,4592,0.21,0,0.0
32NVL,41,4596,8.39,25,11.06
304NVL,41,4597,1.37,42,0.54
32MT,41,4603,1.12,36,7.85
NVCMT,42,4704,3.63,14,2.96
304THN,42,4704,0.2,0,0.0
NVCNVL,42,4704,4.36,29,3.16
NVCCMT8,42,4704,0.0,1,0.0
32THN,42,4704,0.0,0,0.0
32NVL,42,4709,5.78,26,5.54
304NVL,42,4709,3.51,34,0.51
32MT,42,4715,11.13,24,14.88
NVCMT,43,4816,1.27,9,9.89
304THN,43,4816,0.0,0,0.0
NVCNVL,43,4816,0.43,31,0.13
NVCCMT8,43,4816,0.0,5,0.0
32THN,43,4816,0.0,0,0.0
32NVL,43,4821,21.64,18,7.56
304NVL,43,4821,5.97,33,6.03
32MT,43,4827,0.44,30,0.25
NVCMT,44,4928,0.55,7,0.07
304THN,44,4928,0.0,0,0.0
NVCNVL,44,4928,2.04,24,1.27
NVCCMT8,44,4928,0.45,5,0.7
32THN,44,4928,0.19,0,0.0
32NVL,44,4933,7.71,37,12.54
304NVL,44,4933,0.4,42,0.43
32MT,44,4939,1.23,21,0.02
NVCMT,45,5040,1.04,9,0.28
304THN,45,5040,0.0,0,0.0
NVCNVL,45,5040,6.3,41,3.18
NVCCMT8,45,5040,0.45,4,1.0
32THN,45,5040,0.0,0,0.0
32NVL,45,5045,9.5,19,12.5
304NVL,45,5045,4.41,20,0.0
32MT,45,5051,6.01,22,8.59
NVCMT,46,5152,1.54,12,0.54
304THN,46,5152,0.0,0,0.0
NVCNVL,46,5152,0.0,23,0.0
NVCCMT8,46,5152,0.32,7,0.14
32THN,46,5152,0.18,0,0.0
32NVL,46,5157,47.04,19,2.87
304NVL,46,5158,6.75,38,7.29
32MT,46,5164,1.08,20,0.38
NVCMT,47,5264,2.84,12,0.96
304THN,47,5264,0.0,0,0.0
NVCNVL,47,5264,2.59,21,2.67
NVCCMT8,47,5264,0.0,1,0.0
32THN,47,5264,0.0,0,0.0
32NVL,47,5269,8.75,35,35.84
304NVL,47,5270,1.86,30,0.53
32MT,47,5276,6.47,26,7.38
NVCMT,48,5376,2.57,15,2.4
304THN,48,5376,0.0,1,0.0
NVCNVL,48,5376,3.23,43,1.56
NVCCMT8,48,5376,0.0,3,0.0
32THN,48,5376,0.0,0,0.0
32NVL,48,5381,3.89,18,4.22
304NVL,48,5382,2.89,32,1.41
32MT,48,5389,0.37,26,0.25
NVCMT,49,5488,0.38,16,0.22
304THN,49,5488,0.0,0,0.0
NVCNVL,49,5488,1.82,26,1.29
NVCCMT8,49,5488,0.39,3,1.0
32THN,49,5488,0.0,0,0.0
32NVL,49,5493,5.41,24,5.33
304NVL,49,5494,1.92,38,1.78
32MT,49,5501,1.49,12,1.63
NVCMT,50,5600,1.02,11,0.73
304THN,50,5600,0.0,1,0.0
NVCNVL,50,5600,4.95,30,3.33
NVCCMT8,50,5600,0.0,3,0.0
32THN,50,5600,0.65,0,0.0
32NVL,50,5605,8.66,24,6.98
304NVL,50,5606,1.13,41,0.94
32MT,50,5613,1.92,22,1.02
NVCMT,51,5712,1.38,12,0.17
304THN,51,5712,0.0,0,0.0
NVCNVL,51,5712,0.29,22,0.0
NVCCMT8,51,5712,1.3,11,0.59
32THN,51,5712,0.0,0,0.0
32NVL,51,5717,16.23,24,4.04
304NVL,51,5718,2.13,24,2.9
32MT,51,5726,0.52,32,0.28
NVCMT,52,5824,3.38,10,1.35
304THN,52,5824,0.0,0,0.0
NVCNVL,52,5824,4.54,25,3.04
NVCCMT8,52,5824,0.0,2,0.0
32THN,52,5824,0.0,0,0.0
32NVL,52,5829,18.97,28,8.07
304NVL,52,5830,4.86,50,0.32
32MT,52,5838,0.0,20,0.45
NVCMT,53,5936,1.63,9,2.78
304THN,53,5936,0.0,0,0.0
NVCNVL,53,5936,0.0,23,0.04
NVCCMT8,53,5936,0.0,3,0.0
32THN,53,5936,0.23,1,0.0
32NVL,53,5941,9.79,30,15.55
304NVL,53,5942,2.57,27,4.91
32MT,53,5951,1.72,27,1.31
NVCMT,54,6048,3.13,8,3.38
304THN,54,6048,0.0,0,0.0
NVCNVL,54,6048,1.21,28,0.86
NVCCMT8,54,6048,0.0,4,0.0
32THN,54,6048,0.63,0,0.0
32NVL,54,6053,7.09,30,5.0
304NVL,54,6054,1.26,32,1.89
32MT,54,6063,0.0,30,0.23
NVCMT,55,6160,2.11,10,4.95
304THN,55,6160,0.0,0,0.0
NVCNVL,55,6160,0.0,20,0.03
NVCCMT8,55,6160,0.46,3,1.67
32THN,55,6160,0.0,0,0.0
32NVL,55,6165,8.32,21,8.19
304NVL,55,6166,3.67,37,0.86
32MT,55,6175,3.87,21,5.69
NVCMT,56,6272,1.04,12,3.67
304THN,56,6272,0.0,0,0.0
NVCNVL,56,6272,2.16,31,1.53
NVCCMT8,56,6272,0.96,3,2.17
32THN,56,6272,0.0,0,0.0
32NVL,56,6278,27.18,20,2.73
304NVL,56,6279,7.96,27,5.04
32MT,56,6288,6.36,21,9.24
NVCMT,57,6384,2.89,10,0.5
304THN,57,6384,0.0,0,0.0
NVCNVL,57,6384,0.27,37,0.14
NVCCMT8,57,6384,0.0,5,0.0
32THN,57,6384,0.19,0,0.0
32NVL,57,6390,17.96,28,34.91
304NVL,57,6391,2.33,40,5.43
32MT,57,6400,0.19,14,0.04
NVCMT,58,6496,1.0,11,4.27
304THN,58,6496,0.0,0,0.0
NVCNVL,58,6496,0.2,28,0.02
NVCCMT8,58,6496,0.8,5,1.2
32THN,58,6496,0.0,0,0.0
32NVL,58,6502,36.5,18,8.44
304NVL,58,6503,0.46,35,1.96
32MT,58,6512,0.99,17,1.12
NVCMT,59,6608,2.07,12,0.79
304THN,59,6608,0.0,1,0.0
NVCNVL,59,6608,0.0,22,0.02
NVCCMT8,59,6608,0.0,1,0.0
32THN,59,6608,0.25,0,0.0
32NVL,59,6614,13.36,32,32.05
304NVL,59,6615,1.21,36,0.04
32MT,59,6625,3.27,29,2.78
NVCMT,60,6720,0.8,11,1.09
304THN,60,6720,0.21,0,0.0
NVCNVL,60,6720,0.59,21,0.38
NVCCMT8,60,6720,0.0,5,0.0
32THN,60,6720,0.14,0,0.0
32NVL,60,6726,10.64,22,12.23
304NVL,60,6727,4.61,31,1.27
32MT,60,6737,0.0,22,0.25
NVCMT,61,6832,1.64,20,0.4
304THN,61,6832,0.0,0,0.0
NVCNVL,61,6832,2.66,18,3.06
NVCCMT8,61,6832,0.32,9,0.11
32THN,61,6832,0.13,0,0.0
32NVL,61,6839,16.21,9,0.44
304NVL,61,6839,1.4,30,3.18
32MT,61,6850,6.16,32,5.91
NVCMT,62,6944,1.86,16,0.47
304THN,62,6944,0.0,0,0.0
NVCNVL,62,6944,0.38,24,0.06
NVCCMT8,62,6944,0.0,5,0.0
32THN,62,6944,0.0,0,0.0
32NVL,62,6951,14.41,22,30.77
304NVL,62,6951,7.83,34,0.03
32MT,62,6962,2.57,33,2.29
NVCMT,63,7056,1.39,17,0.53
304THN,63,7056,0.0,0,0.0
NVCNVL,63,7056,2.39,22,1.77
NVCCMT8,63,7056,0.0,3,0.0
32THN,63,7056,0.0,0,0.0
32NVL,63,7063,21.21,18,2.44
304NVL,63,7064,0.95,46,4.71
32MT,63,7074,6.38,22,8.93
NVCMT,64,7168,1.5,13,0.42
304THN,64,7168,0.32,0,0.0
NVCNVL,64,7168,4.95,33,3.12
NVCCMT8,64,7168,0.0,5,0.0
32THN,64,7168,0.0,0,0.0
32NVL,64,7175,6.57,39,13.99
304NVL,64,7176,2.61,23,0.13
32MT,64,7187,0.89,29,0.31
