Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
NVCMT,1,112,1.2,6,0.0
304THN,1,112,0.0,0,0.0
NVCNVL,1,112,0.13,8,0.0
32NVL,1,112,6.23,2,0.0
32MT,1,112,0.0,4,0.0
304NVL,1,112,2.2,7,0.0
NVCCMT8,1,112,0.0,4,0.0
32THN,1,112,0.0,0,0.0
NVCMT,2,224,1.54,16,2.16
304THN,2,224,0.15,0,0.0
NVCNVL,2,224,0.93,25,0.74
32NVL,2,224,12.54,23,10.83
32MT,2,224,2.13,20,1.48
304NVL,2,224,4.04,22,4.84
NVCCMT8,2,224,0.0,6,0.0
32THN,2,224,0.48,0,0.0
NVCMT,3,336,0.89,16,0.41
304THN,3,336,0.0,2,0.0
NVCNVL,3,336,5.41,37,3.19
32MT,3,336,6.82,44,4.36
304NVL,3,336,5.24,41,1.16
NVCCMT8,3,336,1.0,12,0.17
32THN,3,336,0.0,1,0.0
32NVL,3,336,9.76,35,10.24
NVCMT,4,448,4.66,25,0.66
304THN,4,448,0.0,0,0.0
NVCNVL,4,448,0.0,59,0.05
304NVL,4,448,1.04,32,4.86
NVCCMT8,4,448,0.64,17,0.12
32THN,4,448,0.23,0,0.0
32NVL,4,448,9.64,51,3.22
32MT,4,448,2.84,43,1.56
NVCMT,5,560,3.04,26,2.29
304THN,5,560,0.0,0,0.0
NVCNVL,5,560,1.8,56,0.31
304NVL,5,560,4.46,60,0.26
NVCCMT8,5,560,0.7,8,0.5
32THN,5,560,0.45,0,0.0
32NVL,5,560,12.54,56,5.24
32MT,5,561,11.39,53,6.85
NVCMT,6,672,4.46,30,1.4
304THN,6,672,0.0,0,0.0
NVCNVL,6,672,0.25,47,0.04
304NVL,6,672,7.51,73,1.32
NVCCMT8,6,672,0.0,12,0.0
32THN,6,672,0.2,0,0.0
32NVL,6,672,31.82,49,10.8
32MT,6,673,6.0,64,3.23
NVCMT,7,784,3.82,29,1.0
304THN,7,784,0.33,0,0.0
NVCNVL,7,784,6.39,66,1.9
NVCCMT8,7,784,0.52,6,0.75
32THN,7,784,0.58,0,0.0
304NVL,7,784,7.92,71,3.36
32NVL,7,785,49.14,77,8.21
32MT,7,785,3.83,63,1.36
NVCMT,8,896,2.88,32,0.53
304THN,8,896,0.03,0,0.0
NVCNVL,8,896,0.46,59,0.25
NVCCMT8,8,896,0.52,10,0.15
32THN,8,896,0.38,0,0.0
304NVL,8,896,4.1,65,2.78
32NVL,8,897,21.39,69,14.08
32MT,8,898,5.49,58,2.53
NVCMT,9,1008,6.96,25,2.3
304THN,9,1008,0.0,0,0.0
NVCNVL,9,1008,6.23,66,1.81
NVCCMT8,9,1008,0.14,7,0.14
32THN,9,1008,0.76,0,0.0
32NVL,9,1009,37.88,53,9.47
304NVL,9,1009,4.87,72,1.64
32MT,9,1010,5.53,67,3.06
NVCMT,10,1120,5.32,22,1.93
304THN,10,1120,0.0,1,0.0
NVCNVL,10,1120,5.43,52,1.96
NVCCMT8,10,1120,0.8,7,0.43
32THN,10,1120,0.17,0,0.0
32NVL,10,1121,76.73,52,29.82
304NVL,10,1121,3.61,74,2.19
32MT,10,1122,5.81,48,3.29
NVCMT,11,1232,4.45,23,1.46
304THN,11,1232,0.0,0,0.0
NVCNVL,11,1232,0.25,57,0.04
NVCCMT8,11,1232,0.0,4,0.0
32THN,11,1232,0.14,0,0.0
304NVL,11,1233,4.78,93,0.46
32NVL,11,1234,44.21,66,12.73
32MT,11,1234,41.12,46,11.37
NVCMT,12,1344,2.7,31,1.03
304THN,12,1344,0.0,0,0.0
NVCNVL,12,1344,4.91,65,1.88
NVCCMT8,12,1344,0.3,9,0.06
32THN,12,1344,1.1,1,0.0
304NVL,12,1345,7.85,63,2.18
32NVL,12,1346,25.7,66,10.57
32MT,12,1347,11.17,79,15.08
NVCMT,13,1456,7.32,25,0.54
304THN,13,1456,0.0,0,0.0
NVCNVL,13,1456,0.32,67,0.05
NVCCMT8,13,1456,0.39,6,0.5
32THN,13,1456,0.31,1,6.5
32NVL,13,1458,19.34,59,7.13
304NVL,13,1458,7.68,77,3.34
32MT,13,1459,1.97,41,1.71
NVCMT,14,1568,1.41,28,3.27
304THN,14,1568,0.0,0,0.0
NVCNVL,14,1568,0.36,52,0.17
NVCCMT8,14,1568,0.79,9,0.39
32THN,14,1568,0.27,0,0.0
304NVL,14,1570,2.65,84,1.86
32NVL,14,1570,24.23,48,5.96
32MT,14,1571,25.25,49,6.49
