Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,120,3,10,7.0
intersection35,1,120,4,9,1.89
intersection40,1,120,8,4,0.13
intersection44,1,120,5,2,0.0
intersection97,1,120,2,2,0.0
intersection109,1,120,6,1,0.0
intersection133,1,120,0,0,0.0
intersection141,1,120,0,0,0.0
intersection133,2,236,0,0,0.0
intersection141,2,236,0,0,0.0
intersection33,2,236,5,14,8.32
intersection35,2,236,18,15,3.0
intersection40,2,236,8,20,19.95
intersection44,2,236,5,10,5.15
intersection97,2,236,0,3,22.33
intersection109,2,236,4,6,32.17
intersection133,3,352,0,0,0.0
intersection141,3,352,0,0,0.0
intersection33,3,353,13,33,18.61
intersection35,3,353,14,36,31.83
intersection40,3,353,20,22,4.27
intersection44,3,353,17,8,7.31
intersection97,3,353,1,4,24.88
intersection109,3,353,44,11,11.32
intersection133,4,468,0,0,0.0
intersection141,4,468,1,2,0.0
intersection33,4,469,24,66,20.23
intersection35,4,469,18,27,20.41
intersection40,4,469,11,42,26.67
intersection44,4,469,10,27,21.98
intersection97,4,469,3,7,8.21
intersection109,4,469,14,33,33.5
intersection133,5,584,0,0,0.0
intersection141,5,584,0,1,4.5
intersection33,5,586,20,44,36.31
intersection35,5,586,23,37,32.08
intersection40,5,586,28,22,7.84
intersection44,5,586,15,23,2.54
intersection97,5,586,0,8,14.38
intersection109,5,586,16,23,9.04
intersection133,6,700,0,0,0.0
intersection141,6,701,0,0,0.0
intersection33,6,702,23,60,6.58
intersection35,6,702,22,31,30.56
intersection40,6,702,17,44,27.81
intersection44,6,702,16,27,12.31
intersection97,6,702,0,6,7.67
intersection109,6,702,19,45,25.37
intersection133,7,816,0,0,0.0
intersection141,7,817,0,0,0.0
intersection33,7,819,14,48,32.03
intersection35,7,819,47,46,28.91
intersection40,7,819,20,30,4.62
intersection44,7,819,11,33,9.83
intersection97,7,819,1,2,0.0
intersection109,7,819,40,13,4.42
intersection133,8,932,0,0,0.0
intersection141,8,933,0,0,0.0
intersection33,8,935,30,64,17.41
intersection35,8,935,34,36,44.96
intersection40,8,935,10,40,17.93
intersection44,8,935,17,29,7.5
intersection97,8,935,2,6,58.0
intersection109,8,935,17,30,30.32
intersection133,9,1048,0,0,0.0
intersection141,9,1049,0,0,0.0
intersection33,9,1052,18,54,31.01
intersection35,9,1052,50,50,54.82
intersection40,9,1052,16,20,5.73
intersection44,9,1052,13,29,22.09
intersection97,9,1052,0,7,18.79
intersection109,9,1052,37,24,26.27
intersection133,10,1164,0,0,0.0
intersection141,10,1165,0,0,0.0
intersection33,10,1168,22,73,12.64
intersection35,10,1168,32,65,22.35
intersection40,10,1168,19,38,14.2
intersection44,10,1168,18,22,3.73
intersection97,10,1168,1,10,20.5
intersection109,10,1168,9,41,37.43
intersection133,11,1280,0,0,0.0
intersection141,11,1281,0,0,0.0
intersection33,11,1285,22,60,27.98
intersection35,11,1285,26,38,25.45
intersection40,11,1285,28,35,15.4
intersection44,11,1285,10,34,15.25
intersection97,11,1285,1,9,25.94
intersection109,11,1285,41,22,13.84
intersection133,12,1396,0,0,0.0
intersection141,12,1397,0,0,0.0
intersection33,12,1401,21,53,16.08
intersection35,12,1401,22,29,28.22
intersection40,12,1401,23,43,38.56
intersection44,12,1401,10,22,1.8
intersection97,12,1401,2,5,1.6
intersection109,12,1401,12,44,28.98
intersection133,13,1513,0,0,0.0
intersection141,13,1513,0,0,0.0
intersection33,13,1518,19,47,29.24
intersection35,13,1518,33,48,45.17
intersection40,13,1518,28,44,8.42
intersection44,13,1518,21,21,17.29
intersection97,13,1518,2,8,15.13
intersection109,13,1518,27,30,16.8
intersection133,14,1629,0,0,0.0
intersection141,14,1629,0,0,0.0
intersection33,14,1634,16,81,10.47
intersection35,14,1634,39,40,16.34
intersection40,14,1634,19,37,29.09
intersection44,14,1634,10,28,11.2
intersection97,14,1634,0,8,9.19
intersection109,14,1634,20,38,20.21
intersection133,15,1745,0,0,0.0
intersection141,15,1745,0,1,0.5
intersection33,15,1751,17,53,8.0
intersection35,15,1751,23,41,30.76
intersection40,15,1751,30,33,6.39
intersection44,15,1751,19,25,15.84
intersection97,15,1751,2,4,7.38
intersection109,15,1751,20,25,12.86
intersection133,16,1861,0,0,0.0
intersection141,16,1861,0,0,0.0
intersection33,16,1867,28,49,23.38
intersection35,16,1867,35,51,53.91
intersection40,16,1867,21,48,37.47
intersection44,16,1867,15,28,20.93
intersection97,16,1867,0,2,24.75
intersection109,16,1867,19,36,14.42
intersection133,17,1977,0,0,0.0
intersection141,17,1977,0,1,0.0
intersection33,17,1984,25,71,9.39
intersection35,17,1984,31,43,23.53
intersection40,17,1984,20,39,11.01
intersection44,17,1984,16,21,6.4
intersection97,17,1984,0,16,28.44
intersection109,17,1984,12,27,44.57
intersection133,18,2093,0,0,0.0
intersection141,18,2094,0,1,0.0
intersection33,18,2100,21,58,13.56
