Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,120,1,5,9.1
intersection35,1,120,2,1,0.0
intersection40,1,120,3,2,0.0
intersection44,1,120,3,2,0.0
intersection97,1,120,1,1,0.0
intersection109,1,120,0,1,31.0
intersection133,1,120,0,0,0.0
intersection141,1,120,0,0,0.0
intersection133,2,236,0,0,0.0
intersection141,2,236,0,0,0.0
intersection33,2,236,1,8,0.0
intersection35,2,236,5,10,20.15
intersection40,2,236,8,10,6.55
intersection44,2,236,2,8,1.0
intersection97,2,236,0,1,0.0
intersection109,2,236,7,2,2.0
intersection133,3,352,0,0,0.0
intersection141,3,352,0,0,0.0
intersection33,3,353,5,13,6.12
intersection35,3,353,4,15,15.43
intersection40,3,353,5,16,13.28
intersection44,3,353,6,10,12.45
intersection97,3,353,0,7,22.43
intersection109,3,353,3,12,32.33
intersection133,4,468,0,0,0.0
intersection141,4,468,0,0,0.0
intersection33,4,469,7,22,7.93
intersection35,4,469,12,17,18.12
intersection40,4,469,9,9,14.94
intersection44,4,469,6,13,0.0
intersection97,4,469,0,2,7.0
intersection109,4,469,22,6,5.58
intersection133,5,584,0,0,0.0
intersection141,5,584,0,0,0.0
intersection33,5,586,8,25,20.24
intersection35,5,586,17,21,30.9
intersection40,5,586,7,14,28.25
intersection44,5,586,4,10,22.65
intersection97,5,586,0,2,48.5
intersection109,5,586,14,20,32.03
intersection133,6,700,0,0,0.0
intersection141,6,700,0,1,0.0
intersection33,6,702,15,40,6.25
intersection35,6,702,14,24,21.73
intersection40,6,702,10,17,5.79
intersection44,6,702,6,7,1.93
intersection97,6,702,0,3,29.5
intersection109,6,702,9,15,9.67
intersection133,7,816,0,0,0.0
intersection141,7,816,0,0,0.0
intersection33,7,819,16,24,25.65
intersection35,7,819,9,15,35.63
intersection40,7,819,7,19,21.89
intersection44,7,819,9,8,10.5
intersection97,7,819,0,1,0.0
intersection109,7,819,10,14,19.0
intersection133,8,932,0,0,0.0
intersection141,8,932,0,0,0.0
intersection33,8,935,6,31,8.79
intersection35,8,935,12,22,52.25
intersection40,8,935,13,11,20.68
intersection44,8,935,6,6,30.58
intersection97,8,935,1,3,11.83
intersection109,8,935,10,18,12.42
intersection133,9,1048,0,0,0.0
intersection141,9,1048,0,0,0.0
intersection33,9,1052,8,23,18.24
intersection35,9,1052,11,18,33.86
intersection40,9,1052,7,19,34.5
intersection44,9,1052,7,16,7.47
intersection97,9,1052,1,2,7.75
intersection109,9,1052,11,14,18.54
intersection133,10,1164,0,0,0.0
intersection141,10,1164,0,0,0.0
intersection33,10,1168,14,37,23.73
intersection35,10,1168,12,17,32.82
intersection40,10,1168,11,12,9.96
intersection44,10,1168,11,12,7.75
intersection97,10,1168,0,5,37.0
intersection109,10,1168,19,10,5.45
intersection133,11,1280,0,0,0.0
intersection141,11,1280,0,1,0.0
intersection33,11,1285,5,30,6.68
intersection35,11,1285,23,19,30.84
intersection40,11,1285,5,19,11.74
intersection44,11,1285,7,19,11.74
intersection97,11,1285,0,1,19.0
intersection109,11,1285,5,22,36.39
intersection133,12,1396,0,0,0.0
intersection141,12,1397,0,0,0.0
intersection33,12,1401,9,20,9.38
intersection35,12,1401,13,18,48.64
intersection40,12,1401,17,14,9.43
intersection44,12,1401,6,6,4.17
intersection97,12,1401,0,1,0.0
intersection109,12,1401,25,9,0.33
intersection133,13,1512,0,0,0.0
intersection141,13,1513,0,0,0.0
intersection33,13,1518,6,30,35.35
intersection35,13,1518,7,18,36.08
intersection40,13,1518,4,20,32.23
intersection44,13,1518,9,10,5.3
intersection97,13,1518,0,6,12.75
intersection109,13,1518,9,18,39.86
intersection133,14,1628,0,0,0.0
intersection141,14,1629,0,0,0.0
intersection33,14,1634,12,25,3.52
intersection35,14,1634,6,21,35.95
intersection40,14,1634,11,12,21.17
intersection44,14,1634,1,13,7.5
intersection97,14,1634,2,0,0.0
intersection109,14,1634,16,13,23.27
intersection133,15,1744,0,0,0.0
intersection141,15,1745,0,0,0.0
intersection33,15,1751,9,38,17.86
intersection35,15,1751,9,28,34.88
intersection40,15,1751,4,18,25.14
intersection44,15,1751,8,7,15.29
intersection97,15,1751,2,4,18.75
intersection109,15,1751,9,14,22.0
intersection133,16,1860,0,0,0.0
intersection141,16,1861,0,0,0.0
intersection33,16,1867,12,17,7.21
intersection35,16,1867,14,9,1.61
intersection40,16,1867,7,8,23.44
intersection44,16,1867,3,11,13.95
intersection97,16,1867,0,2,5.75
intersection109,16,1867,3,18,23.53
intersection133,17,1977,0,0,0.0
intersection141,17,1977,0,0,0.0
intersection33,17,1984,3,34,29.87
intersection35,17,1984,12,20,27.63
intersection40,17,1984,7,14,27.54
intersection44,17,1984,7,4,4.0
intersection97,17,1984,2,3,11.0
intersection109,17,1984,18,8,0.19
intersection133,18,2093,0,0,0.0
intersection141,18,2093,1,0,0.0
intersection33,18,2100,8,25,6.54
intersection35,18,2100,7,15,28.13
intersection40,18,2100,14,14,15.5
intersection44,18,2100,5,12,15.63
intersection97,18,2100,0,4,2.25
intersection109,18,2100,5,20,41.53
intersection133,19,2209,0,0,0.0
intersection141,19,2209,0,2,0.0
intersection33,19,2217,11,26,11.31
intersection35,19,2217,21,19,26.76
intersection40,19,2217,4,26,27.56
intersection44,19,2217,7,11,1.82
intersection97,19,2217,0,2,14.75
intersection109,19,2217,14,13,4.0
