Intersection_Name,Cycle,Time_Seconds,Queue_Length,Throughput_per_Cycle,Average_Delay
intersection33,1,120,5,5,10.3
intersection35,1,120,3,4,0.0
intersection40,1,120,5,3,0.0
intersection44,1,120,5,3,0.0
intersection97,1,120,0,0,0.0
intersection109,1,120,8,2,5.0
intersection133,1,120,0,0,0.0
intersection141,1,120,0,0,0.0
intersection133,2,236,0,0,0.0
intersection141,2,236,0,1,12.5
intersection33,2,236,7,26,4.81
intersection35,2,236,19,19,2.21
intersection40,2,236,15,17,13.59
intersection44,2,236,11,10,3.85
intersection97,2,236,0,9,5.17
intersection109,2,236,9,4,2.63
intersection133,3,352,0,0,0.0
intersection141,3,352,0,0,0.0
intersection33,3,353,13,42,8.32
intersection35,3,353,13,40,20.3
intersection40,3,353,18,30,3.58
intersection44,3,353,14,21,8.38
intersection97,3,353,1,3,9.83
intersection109,3,353,23,11,10.95
intersection133,4,468,0,0,0.0
intersection141,4,468,0,0,0.0
intersection33,4,469,22,43,6.1
intersection35,4,469,20,29,22.66
intersection40,4,469,18,31,23.69
intersection44,4,469,18,25,13.76
intersection97,4,469,1,2,21.0
intersection109,4,469,9,25,17.1
intersection133,5,584,0,0,0.0
intersection141,5,584,0,0,0.0
intersection33,5,586,10,58,18.85
intersection35,5,586,43,50,32.43
intersection40,5,586,37,40,8.6
intersection44,5,586,13,20,15.9
intersection97,5,586,0,3,30.17
intersection109,5,586,32,24,7.75
intersection133,6,700,0,0,0.0
intersection141,6,700,0,0,0.0
intersection33,6,702,32,74,8.12
intersection35,6,702,26,43,34.37
intersection40,6,702,16,53,30.25
intersection44,6,702,18,20,8.8
intersection97,6,702,3,15,48.5
intersection109,6,702,9,35,25.47
intersection133,7,816,0,0,0.0
intersection141,7,816,0,0,0.0
intersection33,7,819,23,48,21.29
intersection35,7,819,21,36,26.92
intersection40,7,819,31,20,11.65
intersection44,7,819,20,24,7.52
intersection97,7,819,0,1,0.0
intersection109,7,819,31,24,9.13
intersection133,8,932,0,0,0.0
intersection141,8,932,0,1,0.0
intersection33,8,935,16,69,9.88
intersection35,8,935,32,41,20.94
intersection40,8,935,25,37,29.14
intersection44,8,935,11,31,29.23
intersection97,8,935,1,6,30.42
intersection109,8,935,12,30,38.72
intersection133,9,1048,0,0,0.0
intersection141,9,1049,0,0,0.0
intersection33,9,1052,16,51,10.76
intersection35,9,1052,18,36,29.75
intersection40,9,1052,28,55,10.21
intersection44,9,1052,22,16,4.38
intersection97,9,1052,2,5,1.2
intersection109,9,1052,44,29,30.98
intersection133,10,1164,0,0,0.0
